rep_id,side,depth_deg,rom_ratio,fppa_peak,fppa_at_depth,trunk_lean_peak,trunk_flex_peak,pelvic_drop_peak,pelvic_shift_peak,hip_adduction_peak,knee_offset_peak,sway_norm,smoothness,errors_count,classification,err_knee_valgus,err_trunk_lean,err_trunk_flex,err_pelvic_drop,err_pelvic_shift,err_hip_adduction,err_knee_over_foot,err_balance,start_frame,bottom_frame,end_frame,duration_ms,confidence
1,left,107.34,0.795,107.34,89.55,155.76,179.74,12.31,0.1088,170.44,0.9334,0.0297,752.739,7,poor,1,1,1,1,1,1,1,0,4,21,94,1657,0.130
2,left,116.07,0.860,116.07,116.07,153.96,178.85,1.28,0.1333,179.62,0.1016,0.0488,1443.407,5,poor,1,1,1,0,1,1,0,0,100,103,114,272,0.000
3,left,179.41,1.329,179.41,175.39,155.94,179.96,22.86,0.2691,171.40,2.9445,0.0465,1775.313,7,poor,1,1,1,1,1,1,1,0,137,766,983,16895,0.166
4,left,167.94,1.244,167.94,60.71,174.71,179.00,13.58,0.3526,176.37,0.6959,0.1059,1624.532,8,poor,1,1,1,1,1,1,1,1,1022,1042,1052,601,0.064
5,left,176.89,1.310,176.89,161.03,155.55,179.62,29.99,0.1870,171.94,1.3170,0.0288,6259.568,7,poor,1,1,1,1,1,1,1,0,1084,1162,1217,2536,0.181
6,left,167.17,1.238,167.17,95.20,150.89,179.24,1.02,0.0183,175.94,0.0477,0.0100,3839.325,4,poor,1,1,1,0,0,1,0,0,1272,1278,1282,214,0.000
7,left,151.45,1.122,151.45,18.88,152.80,178.85,0.86,0.0309,173.64,0.0600,0.0125,3038.025,4,poor,1,1,1,0,0,1,0,0,1303,1308,1315,254,0.000
8,left,132.19,0.979,132.19,110.99,149.85,168.61,16.79,0.0421,176.57,0.4679,0.0140,1494.341,6,poor,1,1,1,1,0,1,1,0,1321,1332,1361,738,0.153
9,left,99.42,0.736,99.42,32.41,149.98,171.35,2.12,0.0273,175.09,0.0354,0.0072,1406.722,4,poor,1,1,1,0,0,1,0,0,1413,1419,1424,230,0.000
10,left,157.81,1.169,157.81,56.23,149.91,175.68,15.02,0.0312,172.14,0.3389,0.0088,2050.652,6,poor,1,1,1,1,0,1,1,0,1446,1452,1489,839,0.157
11,left,96.61,0.716,96.61,75.83,152.32,179.87,9.20,0.0725,177.77,0.3577,0.0164,1364.401,6,poor,1,1,1,1,0,1,1,0,1493,1497,1542,942,0.095
12,left,51.58,0.382,51.58,41.43,150.45,173.14,1.08,0.0195,174.59,0.0671,0.0051,513.781,4,poor,1,1,1,0,0,1,0,0,1558,1562,1573,288,0.000
1,right,175.13,1.297,175.13,159.42,150.86,179.77,10.21,0.0836,53.94,0.6213,0.0341,1142.896,6,poor,1,1,1,1,0,1,1,0,4,45,95,1646,0.078
2,right,160.75,1.191,160.75,16.15,6.17,43.68,5.14,0.0445,178.68,0.8803,0.0258,16801.392,4,poor,1,0,0,1,0,1,1,0,108,114,130,458,0.283
3,right,45.67,0.338,45.67,45.67,151.28,179.73,1.30,0.0333,0.00,0.0775,0.0108,275.104,3,fair,1,1,1,0,0,0,0,0,377,425,442,1226,0.000
4,right,71.11,0.527,71.11,60.70,151.24,179.98,1.74,0.0369,0.00,0.0836,0.0089,708.178,3,fair,1,1,1,0,0,0,0,0,479,664,674,3807,0.000
5,right,56.48,0.418,56.48,56.48,150.13,179.75,1.80,0.0938,0.00,0.0923,0.0217,388.790,3,fair,1,1,1,0,0,0,0,0,677,680,693,352,0.000
1,left,47.91,0.355,47.91,23.17,150.15,178.67,1.18,0.0214,168.04,0.0374,0.0116,2462.912,3,fair,1,1,0,0,1,0,0,0,8,10,24,317,0.000
2,left,71.57,0.530,71.57,21.81,155.67,179.91,5.56,0.1196,175.97,0.0966,0.0235,1201.481,4,poor,1,1,0,1,0,1,0,0,48,85,156,2139,0.009
1,right,53.34,0.395,53.34,24.84,151.40,179.70,1.81,0.0515,0.00,0.1014,0.0170,448.126,3,fair,1,1,0,0,0,1,0,0,59,90,113,1002,0.000
