t,mode,lm0_x,lm0_y,lm0_z,lm0_v,lm1_x,lm1_y,lm1_z,lm1_v,lm2_x,lm2_y,lm2_z,lm2_v,lm3_x,lm3_y,lm3_z,lm3_v,lm4_x,lm4_y,lm4_z,lm4_v,lm5_x,lm5_y,lm5_z,lm5_v,lm6_x,lm6_y,lm6_z,lm6_v,lm7_x,lm7_y,lm7_z,lm7_v,lm8_x,lm8_y,lm8_z,lm8_v,lm9_x,lm9_y,lm9_z,lm9_v,lm10_x,lm10_y,lm10_z,lm10_v,lm11_x,lm11_y,lm11_z,lm11_v,lm12_x,lm12_y,lm12_z,lm12_v,lm13_x,lm13_y,lm13_z,lm13_v,lm14_x,lm14_y,lm14_z,lm14_v,lm15_x,lm15_y,lm15_z,lm15_v,lm16_x,lm16_y,lm16_z,lm16_v,lm17_x,lm17_y,lm17_z,lm17_v,lm18_x,lm18_y,lm18_z,lm18_v,lm19_x,lm19_y,lm19_z,lm19_v,lm20_x,lm20_y,lm20_z,lm20_v,lm21_x,lm21_y,lm21_z,lm21_v,lm22_x,lm22_y,lm22_z,lm22_v,lm23_x,lm23_y,lm23_z,lm23_v,lm24_x,lm24_y,lm24_z,lm24_v,lm25_x,lm25_y,lm25_z,lm25_v,lm26_x,lm26_y,lm26_z,lm26_v,lm27_x,lm27_y,lm27_z,lm27_v,lm28_x,lm28_y,lm28_z,lm28_v,lm29_x,lm29_y,lm29_z,lm29_v,lm30_x,lm30_y,lm30_z,lm30_v,lm31_x,lm31_y,lm31_z,lm31_v,lm32_x,lm32_y,lm32_z,lm32_v
0,reference,0.276889,0.236313,-0.303766,0.999818,0.287815,0.221541,-0.330782,0.999784,0.294203,0.221155,-0.331031,0.999754,0.301757,0.220755,-0.331236,0.999820,0.279875,0.222471,-0.273170,0.999792,0.279702,0.222558,-0.273069,0.999734,0.279672,0.222500,-0.273117,0.999767,0.339669,0.226015,-0.352988,0.999874,0.315363,0.226291,-0.102480,0.999630,0.296907,0.250415,-0.303811,0.999874,0.286624,0.250928,-0.230613,0.999747,0.383629,0.305325,-0.495240,0.999951,0.357521,0.306210,0.196158,0.998630,0.414144,0.424773,-0.519365,0.996757,0.382512,0.413790,0.275166,0.058664,0.269548,0.474262,-0.408428,0.988315,0.301855,0.472547,0.118166,0.105551,0.244333,0.494449,-0.460820,0.973375,0.275511,0.493506,0.114528,0.119666,0.229795,0.488861,-0.429639,0.971710,0.257546,0.488185,0.054121,0.120010,0.238954,0.483338,-0.386792,0.957773,0.269171,0.478062,0.086884,0.121501,0.395908,0.506686,-0.192516,0.999001,0.388506,0.504122,0.192378,0.995510,0.367950,0.647300,-0.055571,0.856906,0.383962,0.635489,0.346003,0.305384,0.393413,0.776829,0.152494,0.881392,0.407091,0.755437,0.558180,0.463960,0.428705,0.798050,0.165071,0.916488,0.439924,0.773587,0.572215,0.612308,0.301594,0.794969,0.048730,0.873926,0.310123,0.770308,0.494479,0.591792
34,reference,0.276888,0.236101,-0.352992,0.999813,0.288772,0.221497,-0.380331,0.999779,0.295102,0.221109,-0.380543,0.999751,0.302522,0.220709,-0.380751,0.999818,0.280454,0.222384,-0.320341,0.999780,0.280279,0.222441,-0.320159,0.999717,0.280261,0.222379,-0.320130,0.999748,0.339690,0.226010,-0.396433,0.999872,0.315206,0.226245,-0.133310,0.999589,0.297516,0.250442,-0.349027,0.999870,0.287401,0.250932,-0.272489,0.999730,0.383476,0.305471,-0.536521,0.999955,0.358048,0.306991,0.184739,0.998577,0.414418,0.424686,-0.576703,0.996869,0.385883,0.415361,0.275173,0.056175,0.269392,0.473527,-0.463734,0.988767,0.305167,0.472657,0.118815,0.103721,0.242561,0.494369,-0.520188,0.974028,0.280862,0.493796,0.114089,0.118356,0.228881,0.487926,-0.484371,0.972406,0.261580,0.489040,0.053683,0.118599,0.238302,0.482129,-0.439888,0.958560,0.274717,0.482826,0.087252,0.119674,0.393149,0.512309,-0.198496,0.999016,0.384873,0.508847,0.198327,0.995425,0.378519,0.650342,0.015118,0.857149,0.385298,0.636114,0.427319,0.314712,0.393976,0.776830,0.267130,0.881712,0.407103,0.754854,0.705804,0.468524,0.433246,0.800338,0.283762,0.914988,0.439839,0.773628,0.728367,0.614427,0.301787,0.795355,0.144435,0.875401,0.312845,0.770296,0.667642,0.599198
68,reference,0.276921,0.236122,-0.358264,0.999812,0.289033,0.221552,-0.391007,0.999777,0.295323,0.221133,-0.391185,0.999752,0.302579,0.220718,-0.391391,0.999818,0.280831,0.222421,-0.326611,0.999772,0.280730,0.222457,-0.326435,0.999709,0.280819,0.222388,-0.326447,0.999735,0.339039,0.225898,-0.424852,0.999871,0.314761,0.226154,-0.140528,0.999573,0.297870,0.250723,-0.360019,0.999871,0.287802,0.251106,-0.277936,0.999726,0.384054,0.305429,-0.569535,0.999958,0.356844,0.307849,0.173674,0.998627,0.414435,0.424412,-0.607077,0.996949,0.384739,0.415928,0.277558,0.055910,0.269822,0.471916,-0.477449,0.989265,0.304704,0.473689,0.122415,0.109463,0.242516,0.492944,-0.536967,0.974854,0.281181,0.499434,0.114195,0.125369,0.228888,0.485334,-0.506094,0.973294,0.263516,0.492653,0.053441,0.125727,0.238206,0.479074,-0.455437,0.959734,0.277590,0.489056,0.089660,0.126210,0.393153,0.516751,-0.209506,0.999041,0.378928,0.512323,0.209351,0.995558,0.377853,0.659061,0.035224,0.862235,0.384666,0.644273,0.473040,0.329703,0.396448,0.778507,0.305526,0.884412,0.412764,0.755697,0.786386,0.480837,0.433359,0.805828,0.324295,0.917099,0.440925,0.776272,0.812285,0.624199,0.300986,0.797158,0.174843,0.878726,0.315949,0.771603,0.746042,0.613121
103,reference,0.276994,0.236125,-0.339314,0.999803,0.289506,0.221608,-0.390386,0.999769,0.295605,0.221176,-0.390637,0.999746,0.302634,0.220748,-0.390853,0.999814,0.281753,0.222441,-0.308146,0.999758,0.281974,0.222461,-0.307961,0.999694,0.282433,0.222387,-0.307954,0.999719,0.338605,0.225875,-0.416711,0.999866,0.315112,0.226088,-0.125234,0.999545,0.298464,0.250880,-0.356554,0.999866,0.289220,0.251184,-0.258661,0.999711,0.384612,0.305430,-0.565677,0.999960,0.356479,0.308114,0.175269,0.998626,0.414411,0.424373,-0.605621,0.996949,0.382618,0.416022,0.290734,0.055313,0.270242,0.469935,-0.475834,0.989611,0.303262,0.473646,0.135461,0.110678,0.242352,0.489097,-0.538653,0.975490,0.281837,0.501707,0.121451,0.127167,0.228881,0.479700,-0.509049,0.973971,0.264531,0.492677,0.057539,0.127678,0.238108,0.473769,-0.454551,0.960424,0.275162,0.486793,0.100953,0.128096,0.392737,0.517522,-0.215548,0.999018,0.377110,0.512833,0.215414,0.995467,0.377832,0.659784,0.046179,0.862985,0.385876,0.644902,0.477103,0.335662,0.399140,0.778985,0.327324,0.885473,0.418279,0.756676,0.780344,0.482826,0.433419,0.805661,0.346931,0.916956,0.445195,0.780157,0.805470,0.625609,0.300475,0.797055,0.196897,0.879600,0.320109,0.771514,0.735961,0.617031
137,reference,0.277295,0.236035,-0.327655,0.999803,0.290472,0.221592,-0.384458,0.999771,0.296384,0.221156,-0.384647,0.999750,0.303180,0.220720,-0.384838,0.999817,0.282868,0.222400,-0.297038,0.999756,0.283203,0.222393,-0.296863,0.999693,0.283781,0.222291,-0.296839,0.999716,0.338605,0.225693,-0.411200,0.999866,0.315827,0.225874,-0.117644,0.999542,0.299238,0.250849,-0.353566,0.999868,0.290489,0.251153,-0.248210,0.999709,0.385638,0.305372,-0.556259,0.999962,0.356489,0.308222,0.176214,0.998643,0.414413,0.424344,-0.592625,0.996945,0.381436,0.416209,0.295963,0.055506,0.269870,0.466136,-0.465907,0.989940,0.295795,0.469630,0.147101,0.113668,0.240410,0.484528,-0.526633,0.976061,0.269495,0.492594,0.131598,0.130763,0.227544,0.474017,-0.496234,0.974583,0.254775,0.483597,0.067082,0.131409,0.236755,0.467935,-0.444466,0.961079,0.266269,0.476325,0.112425,0.131659,0.392263,0.518458,-0.215214,0.999012,0.377469,0.512838,0.215084,0.995448,0.377578,0.659704,0.056526,0.863743,0.387348,0.645108,0.476985,0.344508,0.399448,0.779311,0.340944,0.887007,0.421857,0.756988,0.782674,0.488514,0.433748,0.806510,0.361274,0.917952,0.448113,0.781343,0.808152,0.630038,0.301597,0.797039,0.214702,0.881612,0.323602,0.770962,0.739060,0.624111
172,reference,0.277269,0.236131,-0.281458,0.999805,0.290441,0.221677,-0.332214,0.999776,0.296295,0.221213,-0.332366,0.999756,0.302847,0.220762,-0.332531,0.999821,0.283006,0.222460,-0.254342,0.999757,0.283506,0.222429,-0.254210,0.999697,0.284338,0.222313,-0.254216,0.999719,0.337317,0.225671,-0.405702,0.999868,0.316083,0.225871,-0.093950,0.999550,0.299234,0.250978,-0.307605,0.999869,0.290641,0.251303,-0.209490,0.999708,0.385689,0.305371,-0.553549,0.999964,0.356427,0.309051,0.182230,0.998657,0.414934,0.424101,-0.573438,0.996896,0.379963,0.415729,0.303473,0.055711,0.270165,0.462028,-0.420629,0.990176,0.293710,0.466075,0.166778,0.116352,0.239946,0.479277,-0.477980,0.976464,0.264812,0.486914,0.152546,0.134304,0.227353,0.467523,-0.447809,0.975014,0.249944,0.474017,0.088008,0.135108,0.236577,0.461731,-0.398934,0.961563,0.263816,0.469484,0.132464,0.135196,0.392040,0.518499,-0.216035,0.998974,0.377218,0.512641,0.215909,0.995341,0.377407,0.660176,0.043985,0.863873,0.386572,0.645673,0.463615,0.346978,0.399389,0.779873,0.311209,0.888394,0.420664,0.757732,0.751545,0.488147,0.433711,0.807719,0.329912,0.919073,0.448218,0.782325,0.774816,0.629859,0.300632,0.797110,0.188492,0.883310,0.323485,0.771909,0.707181,0.626883
206,reference,0.277184,0.236277,-0.274785,0.999807,0.290423,0.221873,-0.322506,0.999780,0.296213,0.221390,-0.322664,0.999762,0.302561,0.220934,-0.322833,0.999824,0.283191,0.222614,-0.247386,0.999758,0.283893,0.222548,-0.247253,0.999701,0.285008,0.222409,-0.247278,0.999722,0.336397,0.225782,-0.403305,0.999870,0.316492,0.225988,-0.086284,0.999560,0.299235,0.251215,-0.298515,0.999871,0.290866,0.251597,-0.202801,0.999707,0.386012,0.305381,-0.548971,0.999965,0.356384,0.309680,0.184610,0.998665,0.414974,0.424184,-0.557715,0.996737,0.378778,0.415760,0.303617,0.056462,0.270352,0.458454,-0.389379,0.990109,0.283706,0.460281,0.167921,0.120168,0.239421,0.473737,-0.444026,0.976245,0.248611,0.476909,0.152973,0.138762,0.227349,0.460692,-0.415272,0.974781,0.240657,0.464731,0.089621,0.139860,0.236576,0.455273,-0.368245,0.961129,0.252283,0.460450,0.133742,0.139881,0.392024,0.519448,-0.217093,0.998897,0.376066,0.514055,0.216988,0.995132,0.377232,0.661180,0.046741,0.863834,0.383499,0.645698,0.469183,0.353390,0.400010,0.779924,0.322302,0.889045,0.417960,0.757411,0.762939,0.490840,0.434211,0.807950,0.341644,0.918840,0.443879,0.782178,0.787125,0.632600,0.300594,0.797183,0.196880,0.883772,0.323245,0.771141,0.721551,0.630976
241,reference,0.277153,0.236883,-0.272534,0.999808,0.290403,0.222756,-0.319319,0.999783,0.296137,0.222202,-0.319473,0.999766,0.302330,0.221690,-0.319643,0.999825,0.283313,0.223447,-0.244558,0.999759,0.284130,0.223316,-0.244429,0.999706,0.285416,0.223111,-0.244457,0.999726,0.335898,0.226179,-0.403722,0.999869,0.317260,0.226463,-0.081549,0.999569,0.299235,0.251633,-0.295742,0.999871,0.290998,0.252111,-0.200191,0.999706,0.385933,0.305453,-0.545734,0.999963,0.355735,0.310385,0.185043,0.998677,0.414890,0.424162,-0.539673,0.996276,0.375978,0.415760,0.303194,0.057194,0.272484,0.455825,-0.348273,0.989232,0.281309,0.457616,0.163933,0.122170,0.239596,0.470237,-0.400584,0.974429,0.245452,0.473369,0.149109,0.141229,0.228231,0.456538,-0.374548,0.972876,0.239298,0.463334,0.086161,0.142572,0.237657,0.451350,-0.328520,0.958406,0.249412,0.457263,0.129959,0.142687,0.390827,0.520718,-0.217147,0.998820,0.375323,0.514710,0.217047,0.995014,0.376736,0.661288,0.056154,0.863565,0.383324,0.645614,0.479350,0.361418,0.400140,0.779920,0.344205,0.889861,0.419409,0.757397,0.785476,0.496451,0.434177,0.807908,0.365091,0.918617,0.445254,0.781567,0.811368,0.636733,0.300594,0.797117,0.220613,0.884481,0.323633,0.771054,0.747100,0.637014
275,reference,0.276505,0.237773,-0.267539,0.999813,0.289633,0.223612,-0.314531,0.999789,0.295170,0.223033,-0.314678,0.999773,0.301067,0.222497,-0.314840,0.999829,0.283174,0.224199,-0.240383,0.999765,0.284090,0.224011,-0.240263,0.999716,0.285410,0.223751,-0.240308,0.999736,0.334322,0.226661,-0.403044,0.999870,0.317311,0.226869,-0.080436,0.999588,0.298948,0.252378,-0.291595,0.999874,0.290960,0.252975,-0.196663,0.999713,0.386123,0.305487,-0.542982,0.999963,0.355342,0.310889,0.183268,0.998726,0.414746,0.424253,-0.522306,0.995762,0.372902,0.416538,0.299359,0.059687,0.273171,0.453636,-0.339512,0.988069,0.276162,0.456200,0.163867,0.127932,0.239576,0.466733,-0.389304,0.972197,0.241621,0.470690,0.148340,0.147295,0.229527,0.452470,-0.364231,0.970533,0.233851,0.458745,0.086563,0.148946,0.239233,0.447706,-0.320392,0.955143,0.245797,0.454471,0.130289,0.149172,0.390835,0.522423,-0.216688,0.998795,0.374983,0.515690,0.216581,0.995045,0.376592,0.661547,0.061027,0.866633,0.382537,0.645588,0.483470,0.372898,0.400695,0.779979,0.346279,0.893048,0.419196,0.756778,0.792508,0.504742,0.434241,0.808221,0.366970,0.919587,0.445332,0.780353,0.819118,0.642567,0.300123,0.796991,0.227787,0.887276,0.323459,0.770284,0.763722,0.645179
310,reference,0.274566,0.238517,-0.261654,0.999817,0.287692,0.224435,-0.309457,0.999794,0.292992,0.223818,-0.309598,0.999779,0.298565,0.223229,-0.309759,0.999832,0.282163,0.224966,-0.236158,0.999771,0.283335,0.224743,-0.236041,0.999726,0.284922,0.224442,-0.236089,0.999745,0.331434,0.226989,-0.402160,0.999871,0.317019,0.227309,-0.081062,0.999605,0.297458,0.252963,-0.286478,0.999876,0.290063,0.253647,-0.192758,0.999718,0.386009,0.305582,-0.537622,0.999961,0.355050,0.310883,0.178346,0.998764,0.414331,0.424359,-0.496491,0.995015,0.370840,0.416532,0.285605,0.060753,0.274499,0.452366,-0.278164,0.986221,0.276656,0.453259,0.162703,0.129257,0.239878,0.465113,-0.320403,0.968852,0.242320,0.465512,0.147473,0.149234,0.231605,0.450769,-0.298225,0.967043,0.234191,0.454658,0.086822,0.151138,0.241277,0.446218,-0.259394,0.950708,0.246383,0.451374,0.129610,0.151715,0.391111,0.523304,-0.216282,0.998750,0.375075,0.516422,0.216173,0.995040,0.376531,0.661887,0.057571,0.866632,0.382793,0.645563,0.476561,0.379160,0.400724,0.780081,0.334350,0.893825,0.419011,0.756464,0.774601,0.507472,0.434162,0.807783,0.354427,0.919498,0.445299,0.780286,0.799924,0.644131,0.299747,0.797041,0.222574,0.887765,0.323278,0.770498,0.747737,0.648013
