t,mode,lm0_x,lm0_y,lm0_z,lm0_v,lm1_x,lm1_y,lm1_z,lm1_v,lm2_x,lm2_y,lm2_z,lm2_v,lm3_x,lm3_y,lm3_z,lm3_v,lm4_x,lm4_y,lm4_z,lm4_v,lm5_x,lm5_y,lm5_z,lm5_v,lm6_x,lm6_y,lm6_z,lm6_v,lm7_x,lm7_y,lm7_z,lm7_v,lm8_x,lm8_y,lm8_z,lm8_v,lm9_x,lm9_y,lm9_z,lm9_v,lm10_x,lm10_y,lm10_z,lm10_v,lm11_x,lm11_y,lm11_z,lm11_v,lm12_x,lm12_y,lm12_z,lm12_v,lm13_x,lm13_y,lm13_z,lm13_v,lm14_x,lm14_y,lm14_z,lm14_v,lm15_x,lm15_y,lm15_z,lm15_v,lm16_x,lm16_y,lm16_z,lm16_v,lm17_x,lm17_y,lm17_z,lm17_v,lm18_x,lm18_y,lm18_z,lm18_v,lm19_x,lm19_y,lm19_z,lm19_v,lm20_x,lm20_y,lm20_z,lm20_v,lm21_x,lm21_y,lm21_z,lm21_v,lm22_x,lm22_y,lm22_z,lm22_v,lm23_x,lm23_y,lm23_z,lm23_v,lm24_x,lm24_y,lm24_z,lm24_v,lm25_x,lm25_y,lm25_z,lm25_v,lm26_x,lm26_y,lm26_z,lm26_v,lm27_x,lm27_y,lm27_z,lm27_v,lm28_x,lm28_y,lm28_z,lm28_v,lm29_x,lm29_y,lm29_z,lm29_v,lm30_x,lm30_y,lm30_z,lm30_v,lm31_x,lm31_y,lm31_z,lm31_v,lm32_x,lm32_y,lm32_z,lm32_v
0,reference,0.641371,0.252964,-0.499995,0.999990,0.639793,0.238307,-0.453128,0.999985,0.643197,0.237990,-0.453087,0.999971,0.646521,0.237598,-0.453015,0.999960,0.622099,0.238645,-0.494563,0.999990,0.611229,0.238906,-0.494631,0.999989,0.600108,0.239262,-0.494598,0.999992,0.633709,0.242165,-0.190094,0.999880,0.572124,0.246826,-0.372106,0.999995,0.643543,0.266968,-0.395781,0.999936,0.623533,0.266732,-0.447548,0.999984,0.613304,0.317759,0.128021,0.999382,0.548789,0.328577,-0.419108,0.999989,0.599893,0.416387,0.196557,0.024835,0.546239,0.438371,-0.376356,0.986177,0.688613,0.422247,-0.092003,0.121924,0.689433,0.427636,-0.255536,0.967536,0.712999,0.427823,-0.136763,0.170867,0.723981,0.429224,-0.289887,0.945056,0.715901,0.417519,-0.170667,0.174355,0.722927,0.416278,-0.287089,0.943161,0.707266,0.416270,-0.118482,0.171717,0.710415,0.414837,-0.243878,0.922787,0.610230,0.513655,0.176129,0.997984,0.583517,0.520100,-0.176406,0.998983,0.615519,0.635893,0.426357,0.533218,0.591258,0.645988,0.072350,0.949668,0.584707,0.737953,0.724046,0.688332,0.570588,0.754081,0.407745,0.895951,0.557669,0.758686,0.744524,0.729000,0.540657,0.772218,0.437740,0.810313,0.670336,0.756696,0.636129,0.804754,0.663581,0.776075,0.305508,0.902379
34,reference,0.641344,0.253004,-0.493356,0.999986,0.639818,0.238735,-0.443761,0.999977,0.643309,0.238567,-0.443733,0.999958,0.646699,0.238342,-0.443679,0.999942,0.621901,0.238661,-0.481219,0.999986,0.611175,0.238894,-0.481278,0.999985,0.600104,0.239217,-0.481241,0.999990,0.633703,0.242806,-0.183956,0.999829,0.572580,0.246770,-0.349105,0.999993,0.643359,0.267072,-0.391543,0.999892,0.623134,0.266808,-0.438983,0.999974,0.613298,0.317616,0.127566,0.999197,0.548858,0.328566,-0.409293,0.999986,0.598378,0.414899,0.219143,0.025200,0.545657,0.436828,-0.404950,0.986839,0.689122,0.422355,0.028234,0.120187,0.687544,0.427792,-0.342837,0.968397,0.714169,0.426675,-0.000524,0.167956,0.721035,0.429194,-0.382482,0.946114,0.715912,0.417480,-0.032171,0.171145,0.721944,0.416262,-0.370187,0.944245,0.707270,0.416270,0.005805,0.168042,0.709990,0.414849,-0.329491,0.924317,0.608045,0.513739,0.172883,0.997700,0.583801,0.521215,-0.173131,0.998864,0.612798,0.635139,0.419837,0.513248,0.594309,0.645711,0.071385,0.945685,0.582288,0.736332,0.682112,0.666936,0.573598,0.753163,0.372848,0.889664,0.554619,0.756355,0.699353,0.712846,0.542705,0.771705,0.399566,0.806769,0.670750,0.755197,0.609272,0.787082,0.672244,0.773918,0.278473,0.895191
68,reference,0.641385,0.253649,-0.481746,0.999982,0.640172,0.239723,-0.434252,0.999971,0.643807,0.239665,-0.434238,0.999947,0.647200,0.239547,-0.434181,0.999928,0.621922,0.239000,-0.470126,0.999982,0.611244,0.239006,-0.470172,0.999981,0.600200,0.239241,-0.470125,0.999987,0.633737,0.243666,-0.183213,0.999793,0.572995,0.246765,-0.345828,0.999991,0.643314,0.267636,-0.385066,0.999869,0.623073,0.267269,-0.430702,0.999970,0.613240,0.317564,0.114224,0.999075,0.548860,0.329063,-0.403687,0.999983,0.598437,0.414809,0.220489,0.026178,0.542628,0.436701,-0.407079,0.987495,0.689904,0.422037,0.032589,0.124345,0.686135,0.428493,-0.352671,0.969388,0.715195,0.426312,0.001091,0.172353,0.719311,0.429521,-0.393274,0.947444,0.716150,0.416993,-0.032567,0.175575,0.721142,0.416928,-0.379990,0.945610,0.707338,0.415801,0.009473,0.171430,0.709188,0.415692,-0.339105,0.926199,0.609743,0.514797,0.168006,0.997579,0.583759,0.524123,-0.168207,0.998815,0.615216,0.635015,0.427431,0.507344,0.593402,0.645813,0.088194,0.945444,0.582450,0.734871,0.688172,0.658853,0.567540,0.752254,0.384438,0.889650,0.551902,0.752627,0.706211,0.708343,0.538023,0.770369,0.410088,0.807990,0.670728,0.754937,0.623612,0.781829,0.672476,0.773547,0.289207,0.894205
103,reference,0.641470,0.254749,-0.483344,0.999980,0.640778,0.241356,-0.435764,0.999967,0.644634,0.241491,-0.435746,0.999941,0.648186,0.241566,-0.435683,0.999920,0.622115,0.239799,-0.472812,0.999980,0.611636,0.239444,-0.472862,0.999979,0.600711,0.239483,-0.472819,0.999986,0.634100,0.245293,-0.179819,0.999768,0.573749,0.246852,-0.347947,0.999989,0.643267,0.269249,-0.385564,0.999853,0.623007,0.268426,-0.432012,0.999967,0.613200,0.318152,0.114794,0.998976,0.548506,0.329602,-0.404670,0.999982,0.609221,0.414696,0.222389,0.027469,0.539898,0.436713,-0.420388,0.988147,0.689910,0.422400,0.015615,0.130650,0.683272,0.430166,-0.355524,0.970508,0.715585,0.426159,-0.019110,0.178863,0.716144,0.430896,-0.395927,0.948918,0.716153,0.416922,-0.050375,0.182275,0.718443,0.418686,-0.384883,0.947131,0.707252,0.415759,-0.007422,0.176842,0.706459,0.417742,-0.342257,0.928170,0.611624,0.515364,0.168148,0.997568,0.581065,0.524817,-0.168340,0.998807,0.620800,0.635017,0.441658,0.504801,0.587357,0.645680,0.104563,0.945221,0.584037,0.734916,0.721389,0.654043,0.566162,0.752208,0.438172,0.890111,0.551988,0.752597,0.741777,0.706322,0.537290,0.770241,0.468004,0.808861,0.671769,0.755122,0.649763,0.780041,0.672329,0.773085,0.331286,0.894701
137,reference,0.643012,0.256468,-0.481727,0.999968,0.642415,0.243499,-0.433879,0.999948,0.646232,0.243633,-0.433874,0.999909,0.649609,0.243687,-0.433828,0.999880,0.623656,0.241875,-0.472315,0.999970,0.613494,0.241317,-0.472377,0.999969,0.602741,0.241145,-0.472361,0.999979,0.634447,0.247051,-0.179485,0.999656,0.576694,0.247620,-0.349168,0.999984,0.643862,0.270838,-0.384168,0.999776,0.623848,0.270027,-0.432253,0.999951,0.613194,0.318654,0.115158,0.998761,0.548500,0.330579,-0.416809,0.999978,0.608609,0.414096,0.269335,0.027455,0.536867,0.436726,-0.428073,0.988480,0.685287,0.425148,0.155218,0.125549,0.681513,0.431556,-0.350178,0.970410,0.709823,0.429748,0.135318,0.172120,0.714796,0.431913,-0.388572,0.948617,0.711026,0.419480,0.100547,0.175432,0.717377,0.419771,-0.378255,0.946880,0.703019,0.418778,0.133315,0.170207,0.705437,0.419228,-0.337117,0.927924,0.611777,0.517599,0.168362,0.997491,0.575851,0.526853,-0.168568,0.998768,0.627176,0.635217,0.446983,0.493124,0.580526,0.646157,0.118012,0.939530,0.584104,0.734967,0.732453,0.637678,0.563296,0.752189,0.471531,0.882923,0.551847,0.752368,0.753964,0.694604,0.534608,0.769996,0.505009,0.801849,0.671978,0.755132,0.663233,0.768921,0.669643,0.772551,0.375080,0.889497
172,reference,0.645364,0.259830,-0.484629,0.999966,0.644932,0.246393,-0.437250,0.999943,0.648578,0.246419,-0.437266,0.999900,0.651789,0.246387,-0.437251,0.999869,0.626392,0.244931,-0.476276,0.999967,0.616405,0.244294,-0.476336,0.999966,0.605666,0.243831,-0.476306,0.999977,0.634814,0.249462,-0.186193,0.999627,0.578477,0.249395,-0.362012,0.999982,0.645024,0.273765,-0.388301,0.999757,0.625685,0.273088,-0.437860,0.999947,0.612606,0.318712,0.107378,0.998694,0.548621,0.332816,-0.427498,0.999977,0.608157,0.413473,0.285669,0.027973,0.535059,0.437988,-0.428169,0.988925,0.684529,0.425221,0.180399,0.125550,0.678361,0.434204,-0.353688,0.971112,0.707053,0.430054,0.160294,0.171855,0.710669,0.434412,-0.394203,0.949781,0.710365,0.419826,0.122307,0.175386,0.712758,0.422577,-0.386166,0.948148,0.701617,0.419086,0.157209,0.169728,0.700919,0.422233,-0.342208,0.929637,0.611652,0.517759,0.168587,0.997519,0.571939,0.527645,-0.168797,0.998776,0.631687,0.634857,0.470400,0.492970,0.576942,0.646157,0.135208,0.939740,0.584199,0.733988,0.764611,0.634477,0.563294,0.750840,0.488117,0.884710,0.551934,0.751531,0.787697,0.693237,0.533796,0.769491,0.521502,0.805389,0.674111,0.754908,0.701393,0.768986,0.669517,0.771973,0.393096,0.891453
206,reference,0.647487,0.261779,-0.557034,0.999963,0.647162,0.248306,-0.506760,0.999939,0.650957,0.248311,-0.506764,0.999892,0.654248,0.248282,-0.506724,0.999859,0.628544,0.247247,-0.547335,0.999965,0.618481,0.246726,-0.547430,0.999964,0.607769,0.246413,-0.547428,0.999975,0.636876,0.251396,-0.237083,0.999596,0.580210,0.251522,-0.418372,0.999981,0.647179,0.275783,-0.453066,0.999735,0.627993,0.275272,-0.504671,0.999943,0.614393,0.320194,0.079596,0.998602,0.547989,0.335651,-0.479097,0.999975,0.608872,0.413547,0.268446,0.028519,0.533390,0.440467,-0.464192,0.989443,0.679242,0.429005,0.126265,0.124293,0.676731,0.435393,-0.382140,0.972200,0.702326,0.434771,0.102391,0.169147,0.709456,0.435556,-0.423272,0.951382,0.709951,0.422628,0.065967,0.172797,0.711264,0.423980,-0.416615,0.949889,0.697105,0.423069,0.102673,0.166846,0.699367,0.423700,-0.370940,0.931852,0.613085,0.519271,0.169547,0.997593,0.564787,0.528381,-0.169738,0.998796,0.646370,0.633534,0.465270,0.506792,0.570632,0.646182,0.159163,0.940746,0.593297,0.732857,0.759702,0.643593,0.560707,0.750273,0.566354,0.886810,0.556687,0.750331,0.781687,0.698304,0.526956,0.768344,0.603929,0.806020,0.688522,0.755005,0.687801,0.777718,0.668534,0.772005,0.457117,0.894992
241,reference,0.651774,0.265137,-0.551912,0.999964,0.651738,0.251427,-0.503621,0.999938,0.655439,0.251417,-0.503618,0.999892,0.658691,0.251375,-0.503579,0.999859,0.634074,0.250418,-0.545179,0.999965,0.624286,0.249868,-0.545266,0.999964,0.613801,0.249499,-0.545238,0.999975,0.640548,0.254235,-0.241802,0.999595,0.584367,0.254170,-0.428788,0.999981,0.650659,0.279174,-0.450444,0.999736,0.632450,0.278836,-0.503656,0.999943,0.614378,0.323005,0.069009,0.998575,0.547900,0.338772,-0.485162,0.999974,0.608679,0.415081,0.261397,0.028981,0.532266,0.442758,-0.459921,0.990040,0.674631,0.433067,0.146859,0.124666,0.674352,0.438485,-0.370100,0.973469,0.698809,0.438445,0.126188,0.168640,0.706948,0.438320,-0.410928,0.953430,0.703355,0.426809,0.088538,0.172552,0.708987,0.426802,-0.404015,0.952084,0.692302,0.427025,0.123396,0.165941,0.697158,0.426680,-0.358947,0.934682,0.613203,0.521515,0.169673,0.997743,0.559801,0.530013,-0.169847,0.998854,0.659461,0.633299,0.464985,0.532142,0.571975,0.647464,0.178384,0.944144,0.612251,0.731085,0.756190,0.662870,0.559298,0.749951,0.595493,0.893218,0.582262,0.748249,0.777875,0.712126,0.526611,0.768110,0.633951,0.813913,0.703466,0.753313,0.679504,0.791983,0.668680,0.771944,0.493160,0.901605
275,reference,0.657203,0.270020,-0.546631,0.999962,0.656386,0.255967,-0.500312,0.999935,0.659447,0.255899,-0.500325,0.999888,0.662131,0.255766,-0.500306,0.999853,0.639532,0.255071,-0.543411,0.999963,0.629898,0.254515,-0.543464,0.999961,0.619457,0.254015,-0.543441,0.999973,0.641674,0.258445,-0.248249,0.999583,0.589132,0.257919,-0.444472,0.999979,0.654280,0.283442,-0.448356,0.999732,0.637675,0.283136,-0.503916,0.999942,0.615354,0.326712,0.053220,0.998559,0.547873,0.343261,-0.501134,0.999972,0.610375,0.417478,0.257609,0.029554,0.530460,0.447223,-0.468701,0.990340,0.674393,0.435474,0.139992,0.124842,0.671688,0.441711,-0.363651,0.974256,0.696914,0.442161,0.118312,0.167648,0.704612,0.442033,-0.403074,0.954869,0.703467,0.429466,0.082143,0.171661,0.706746,0.429742,-0.397457,0.953666,0.689680,0.429721,0.116962,0.164893,0.694613,0.429202,-0.353028,0.936760,0.613717,0.525008,0.169365,0.997869,0.556669,0.533213,-0.169505,0.998897,0.677129,0.631970,0.471581,0.558072,0.572177,0.651639,0.167907,0.946817,0.632441,0.727650,0.774179,0.680097,0.560329,0.749977,0.581953,0.896869,0.607478,0.744417,0.796960,0.723150,0.525887,0.767869,0.620944,0.815528,0.727455,0.751114,0.691464,0.803145,0.668393,0.773272,0.475709,0.905588
310,reference,0.662342,0.274011,-0.553752,0.999959,0.660841,0.259892,-0.508910,0.999930,0.663434,0.259778,-0.508936,0.999881,0.665690,0.259559,-0.508935,0.999845,0.645350,0.259036,-0.556563,0.999960,0.636309,0.258420,-0.556616,0.999958,0.626564,0.257874,-0.556597,0.999971,0.643084,0.262080,-0.260926,0.999568,0.595200,0.261446,-0.477061,0.999977,0.658496,0.287464,-0.456400,0.999722,0.643453,0.286998,-0.517872,0.999940,0.615477,0.330171,0.039928,0.998545,0.547977,0.347034,-0.536527,0.999970,0.608816,0.421079,0.243096,0.028881,0.530446,0.450496,-0.501571,0.990517,0.670274,0.440818,0.127631,0.120478,0.667888,0.444404,-0.381999,0.974511,0.695426,0.446125,0.106345,0.162237,0.700780,0.444613,-0.422337,0.955678,0.703165,0.433941,0.067289,0.166287,0.702254,0.432872,-0.418287,0.954631,0.687608,0.434646,0.102944,0.159939,0.689915,0.432366,-0.372557,0.937934,0.613716,0.526479,0.170213,0.997997,0.555205,0.535657,-0.170301,0.998947,0.684905,0.631883,0.485832,0.581686,0.581516,0.655651,0.165916,0.949920,0.646894,0.727570,0.802858,0.696469,0.561873,0.752039,0.576124,0.902171,0.616674,0.743969,0.827332,0.734245,0.528243,0.769228,0.614379,0.821519,0.750263,0.749914,0.723628,0.814442,0.669465,0.777418,0.468438,0.910855
