t,mode,lm0_x,lm0_y,lm0_z,lm0_v,lm1_x,lm1_y,lm1_z,lm1_v,lm2_x,lm2_y,lm2_z,lm2_v,lm3_x,lm3_y,lm3_z,lm3_v,lm4_x,lm4_y,lm4_z,lm4_v,lm5_x,lm5_y,lm5_z,lm5_v,lm6_x,lm6_y,lm6_z,lm6_v,lm7_x,lm7_y,lm7_z,lm7_v,lm8_x,lm8_y,lm8_z,lm8_v,lm9_x,lm9_y,lm9_z,lm9_v,lm10_x,lm10_y,lm10_z,lm10_v,lm11_x,lm11_y,lm11_z,lm11_v,lm12_x,lm12_y,lm12_z,lm12_v,lm13_x,lm13_y,lm13_z,lm13_v,lm14_x,lm14_y,lm14_z,lm14_v,lm15_x,lm15_y,lm15_z,lm15_v,lm16_x,lm16_y,lm16_z,lm16_v,lm17_x,lm17_y,lm17_z,lm17_v,lm18_x,lm18_y,lm18_z,lm18_v,lm19_x,lm19_y,lm19_z,lm19_v,lm20_x,lm20_y,lm20_z,lm20_v,lm21_x,lm21_y,lm21_z,lm21_v,lm22_x,lm22_y,lm22_z,lm22_v,lm23_x,lm23_y,lm23_z,lm23_v,lm24_x,lm24_y,lm24_z,lm24_v,lm25_x,lm25_y,lm25_z,lm25_v,lm26_x,lm26_y,lm26_z,lm26_v,lm27_x,lm27_y,lm27_z,lm27_v,lm28_x,lm28_y,lm28_z,lm28_v,lm29_x,lm29_y,lm29_z,lm29_v,lm30_x,lm30_y,lm30_z,lm30_v,lm31_x,lm31_y,lm31_z,lm31_v,lm32_x,lm32_y,lm32_z,lm32_v
0,reference,0.502173,0.232460,-0.410256,0.999852,0.497250,0.219679,-0.371434,0.999529,0.498855,0.219661,-0.371409,0.999360,0.500192,0.219541,-0.371391,0.999273,0.484474,0.218671,-0.422995,0.999720,0.476863,0.218116,-0.423078,0.999754,0.468683,0.217612,-0.423149,0.999773,0.478936,0.222929,-0.150733,0.997352,0.439498,0.221921,-0.382495,0.999675,0.500695,0.245682,-0.320116,0.999214,0.484545,0.245401,-0.387041,0.999674,0.464315,0.300232,0.143179,0.994268,0.414435,0.292460,-0.501402,0.999915,0.458713,0.397777,0.261109,0.068210,0.403558,0.394915,-0.574376,0.992519,0.489763,0.477627,0.175467,0.153847,0.473947,0.479548,-0.569725,0.977197,0.499264,0.504730,0.163960,0.151039,0.483210,0.506733,-0.627901,0.955414,0.503087,0.504033,0.111353,0.159950,0.500994,0.504513,-0.627199,0.954474,0.502865,0.492440,0.145925,0.159155,0.500838,0.495475,-0.565654,0.940524,0.477528,0.482318,0.187694,0.996660,0.435860,0.480044,-0.187979,0.998608,0.506924,0.608255,0.224278,0.574999,0.469938,0.609059,-0.130562,0.943775,0.473086,0.733560,0.378621,0.752049,0.445880,0.739737,0.030747,0.956656,0.437575,0.752212,0.383288,0.726965,0.417132,0.756427,0.035883,0.871601,0.552189,0.774499,0.274340,0.835293,0.538937,0.785621,-0.131731,0.955441
34,reference,0.502167,0.232616,-0.397135,0.999836,0.497094,0.219680,-0.361283,0.999486,0.498721,0.219668,-0.361249,0.999295,0.500106,0.219565,-0.361206,0.999196,0.484398,0.218708,-0.414338,0.999696,0.476838,0.218233,-0.414430,0.999732,0.468672,0.217845,-0.414536,0.999754,0.478936,0.223127,-0.147214,0.997076,0.439742,0.222375,-0.382493,0.999660,0.500599,0.245722,-0.308926,0.999165,0.484546,0.245401,-0.378001,0.999660,0.464204,0.300739,0.147684,0.994204,0.411888,0.292838,-0.501348,0.999918,0.457650,0.397189,0.261995,0.065832,0.403567,0.394919,-0.574836,0.992536,0.489711,0.476697,0.165531,0.152697,0.477628,0.479547,-0.569290,0.977313,0.499609,0.503512,0.155022,0.151426,0.485479,0.506729,-0.627300,0.955577,0.503268,0.503119,0.101951,0.160128,0.503767,0.504402,-0.626337,0.954599,0.502355,0.491113,0.136029,0.159239,0.503974,0.495451,-0.564849,0.940421,0.479351,0.482552,0.189557,0.996564,0.435719,0.480825,-0.189851,0.998579,0.507012,0.608255,0.240662,0.573303,0.469352,0.609309,-0.147962,0.943541,0.473182,0.733269,0.414841,0.750607,0.445895,0.739707,-0.006833,0.956123,0.437560,0.751052,0.420972,0.725640,0.416955,0.755741,-0.004190,0.869707,0.550160,0.773726,0.311858,0.834654,0.536770,0.785648,-0.179946,0.954809
68,reference,0.502035,0.232474,-0.468167,0.999832,0.496800,0.219528,-0.428230,0.999478,0.498510,0.219559,-0.428177,0.999277,0.499988,0.219494,-0.428085,0.999169,0.483994,0.218635,-0.481746,0.999695,0.476501,0.218211,-0.481872,0.999731,0.468273,0.217842,-0.482032,0.999754,0.478952,0.223127,-0.191272,0.996973,0.439741,0.222336,-0.432437,0.999668,0.500491,0.245710,-0.371518,0.999163,0.484504,0.245333,-0.441451,0.999667,0.466803,0.300937,0.123417,0.994246,0.408882,0.293287,-0.535478,0.999922,0.460098,0.396302,0.236717,0.064231,0.403441,0.395304,-0.608744,0.992767,0.495920,0.475912,0.102671,0.152078,0.479821,0.479862,-0.609662,0.977870,0.504923,0.502559,0.087559,0.151858,0.487937,0.506920,-0.672539,0.956370,0.507966,0.501855,0.030882,0.160330,0.505920,0.504353,-0.675684,0.955355,0.506868,0.491093,0.071248,0.159187,0.505888,0.495449,-0.606279,0.941051,0.483005,0.483374,0.194754,0.996614,0.435405,0.482540,-0.195102,0.998610,0.510170,0.608308,0.300638,0.581077,0.468078,0.610236,-0.123396,0.945014,0.474608,0.732738,0.539674,0.755661,0.445878,0.739728,0.087878,0.957209,0.439128,0.749963,0.551634,0.731061,0.416826,0.755742,0.096817,0.870585,0.550147,0.772203,0.423612,0.839380,0.535575,0.785730,-0.104883,0.956018
103,reference,0.500532,0.232415,-0.505181,0.999838,0.496014,0.219414,-0.458450,0.999498,0.498120,0.219499,-0.458403,0.999299,0.499862,0.219475,-0.458329,0.999188,0.482269,0.218524,-0.508485,0.999708,0.474503,0.218152,-0.508600,0.999742,0.465963,0.217820,-0.508734,0.999764,0.479296,0.223229,-0.196005,0.996999,0.439337,0.222336,-0.424675,0.999685,0.500115,0.245841,-0.399365,0.999181,0.483558,0.245363,-0.464317,0.999679,0.468521,0.300899,0.128987,0.994296,0.407443,0.293293,-0.529077,0.999926,0.460996,0.395721,0.240567,0.062305,0.403644,0.394519,-0.602499,0.993070,0.495966,0.475910,0.104740,0.151888,0.480918,0.479686,-0.619504,0.978753,0.505584,0.502486,0.088000,0.152634,0.489426,0.506832,-0.687545,0.957748,0.508814,0.501565,0.028293,0.160999,0.506989,0.504013,-0.691491,0.956734,0.507732,0.490739,0.071773,0.159470,0.506678,0.494954,-0.616950,0.942533,0.484022,0.483437,0.200343,0.996651,0.435149,0.482584,-0.200689,0.998624,0.510521,0.608462,0.285508,0.590809,0.468108,0.610233,-0.130334,0.947182,0.474575,0.732783,0.501484,0.763017,0.445217,0.740076,0.069848,0.958937,0.438582,0.749993,0.510344,0.738683,0.416422,0.755928,0.076957,0.873206,0.547446,0.772166,0.381532,0.845240,0.535271,0.785853,-0.119255,0.957863
137,reference,0.499731,0.232240,-0.497999,0.999839,0.495362,0.219198,-0.453056,0.999502,0.497615,0.219317,-0.453005,0.999297,0.499529,0.219329,-0.452930,0.999180,0.481386,0.218373,-0.504951,0.999714,0.473607,0.218054,-0.505071,0.999746,0.464966,0.217748,-0.505218,0.999769,0.479313,0.223185,-0.197262,0.996920,0.439069,0.222272,-0.430759,0.999696,0.499734,0.245830,-0.394997,0.999180,0.483056,0.245319,-0.462290,0.999685,0.469479,0.300821,0.129946,0.994296,0.407091,0.293354,-0.535863,0.999930,0.461058,0.395085,0.242727,0.059943,0.403764,0.394521,-0.611516,0.993287,0.495800,0.475505,0.112689,0.148963,0.481571,0.479774,-0.629380,0.979320,0.505543,0.502191,0.097387,0.150781,0.490473,0.507051,-0.697349,0.958508,0.508770,0.501224,0.039149,0.158898,0.508202,0.504012,-0.699220,0.957448,0.507744,0.490023,0.080438,0.157271,0.507592,0.495013,-0.625641,0.943103,0.485486,0.483835,0.204896,0.996713,0.435219,0.482955,-0.205266,0.998651,0.510637,0.608784,0.298082,0.590745,0.468256,0.610307,-0.130102,0.948050,0.474150,0.733184,0.526521,0.764901,0.444937,0.740090,0.076935,0.959702,0.437398,0.750138,0.536750,0.741666,0.415763,0.755959,0.085211,0.874219,0.547038,0.772229,0.409217,0.847834,0.534371,0.785786,-0.111358,0.958826
172,reference,0.499680,0.232078,-0.496280,0.999829,0.495139,0.219031,-0.450763,0.999470,0.497353,0.219167,-0.450711,0.999247,0.499254,0.219196,-0.450588,0.999117,0.481290,0.218272,-0.503861,0.999697,0.473548,0.217989,-0.503981,0.999731,0.464920,0.217696,-0.503990,0.999756,0.479127,0.223134,-0.190949,0.996647,0.439068,0.222191,-0.430309,0.999686,0.499606,0.245755,-0.389912,0.999136,0.483023,0.245223,-0.460095,0.999673,0.470163,0.300719,0.139966,0.994271,0.406439,0.293336,-0.535522,0.999932,0.462635,0.394478,0.255460,0.058402,0.403127,0.393664,-0.606984,0.993456,0.497485,0.474638,0.117508,0.148763,0.481491,0.478522,-0.626827,0.979885,0.506638,0.501760,0.101785,0.151543,0.490574,0.506375,-0.693642,0.959403,0.510485,0.500407,0.046733,0.159467,0.508338,0.502913,-0.694594,0.958298,0.509324,0.489090,0.086198,0.157716,0.507622,0.493491,-0.622883,0.943874,0.485583,0.483854,0.205005,0.996684,0.435138,0.482940,-0.205361,0.998624,0.510653,0.608836,0.289345,0.591233,0.469343,0.610295,-0.136792,0.948665,0.474145,0.733867,0.502479,0.766497,0.444881,0.740659,0.070042,0.960164,0.437221,0.750451,0.512606,0.743805,0.415492,0.756416,0.078739,0.873689,0.547092,0.772690,0.402210,0.849571,0.534385,0.786179,-0.124707,0.959292
206,reference,0.499814,0.232091,-0.481141,0.999822,0.495137,0.219046,-0.438967,0.999451,0.497345,0.219184,-0.438916,0.999215,0.499243,0.219215,-0.438825,0.999079,0.481316,0.218333,-0.492620,0.999689,0.473602,0.218087,-0.492738,0.999724,0.465000,0.217831,-0.492840,0.999750,0.479113,0.223202,-0.192895,0.996469,0.439205,0.222238,-0.437280,0.999684,0.499608,0.245760,-0.380572,0.999117,0.483182,0.245223,-0.450817,0.999672,0.470613,0.300806,0.133901,0.994284,0.405859,0.293405,-0.540762,0.999934,0.463041,0.394331,0.253579,0.057206,0.403055,0.393939,-0.615549,0.993626,0.499505,0.474384,0.118602,0.148333,0.482127,0.478529,-0.630127,0.980405,0.508481,0.501511,0.104304,0.151802,0.491736,0.506373,-0.695494,0.960202,0.512531,0.500275,0.047187,0.159667,0.509506,0.502913,-0.697746,0.959079,0.511206,0.488894,0.086867,0.157819,0.508608,0.493511,-0.626382,0.944612,0.486765,0.483851,0.204548,0.996678,0.435186,0.482958,-0.204900,0.998617,0.511144,0.608927,0.281802,0.590088,0.469310,0.610295,-0.136620,0.948189,0.474017,0.733869,0.486610,0.766010,0.444872,0.740569,0.068891,0.960110,0.436402,0.750453,0.495261,0.744447,0.415270,0.756223,0.076943,0.873198,0.546716,0.772679,0.377255,0.850320,0.533622,0.786078,-0.122417,0.959472
241,reference,0.499846,0.232087,-0.446174,0.999817,0.495083,0.219025,-0.406874,0.999435,0.497232,0.219157,-0.406831,0.999189,0.499079,0.219185,-0.406747,0.999052,0.481321,0.218333,-0.462221,0.999679,0.473612,0.218100,-0.462310,0.999713,0.465016,0.217864,-0.462445,0.999741,0.478660,0.223188,-0.169813,0.996363,0.439209,0.222242,-0.420654,0.999677,0.499561,0.245748,-0.348865,0.999106,0.483225,0.245197,-0.420943,0.999668,0.471047,0.300803,0.148514,0.994437,0.405360,0.293385,-0.525069,0.999936,0.463704,0.394261,0.270479,0.057102,0.403034,0.393598,-0.607984,0.993734,0.501259,0.474338,0.126891,0.152219,0.482362,0.476666,-0.624740,0.980862,0.509893,0.501331,0.111684,0.156600,0.492043,0.504985,-0.689780,0.961010,0.513540,0.500076,0.049575,0.164549,0.509964,0.501312,-0.691808,0.959862,0.512446,0.488834,0.093523,0.162277,0.509125,0.491804,-0.621051,0.945273,0.487438,0.483835,0.204124,0.996653,0.435306,0.482942,-0.204469,0.998586,0.511545,0.608921,0.267669,0.590563,0.469311,0.610382,-0.144193,0.947672,0.472434,0.733865,0.457877,0.765721,0.444474,0.740600,0.043701,0.959972,0.433729,0.750467,0.464422,0.745514,0.413836,0.756360,0.049924,0.872300,0.545276,0.772419,0.337835,0.850960,0.533641,0.786064,-0.148009,0.959467
275,reference,0.499857,0.232079,-0.428827,0.999807,0.495060,0.218991,-0.391354,0.999409,0.497182,0.219119,-0.391322,0.999151,0.499002,0.219146,-0.391253,0.999013,0.481326,0.218330,-0.446468,0.999662,0.473621,0.218101,-0.446547,0.999697,0.465029,0.217873,-0.446686,0.999726,0.478585,0.223174,-0.160069,0.996244,0.439195,0.222245,-0.410541,0.999665,0.499542,0.245738,-0.333383,0.999090,0.483256,0.245174,-0.405166,0.999660,0.471540,0.300802,0.153700,0.994608,0.404795,0.293366,-0.515322,0.999938,0.464832,0.394230,0.280094,0.057446,0.402869,0.393260,-0.599818,0.993789,0.504498,0.474337,0.144449,0.156808,0.482370,0.474857,-0.621960,0.981110,0.512383,0.501223,0.130648,0.161919,0.492115,0.504042,-0.686274,0.961402,0.517581,0.499867,0.067430,0.170011,0.510349,0.500389,-0.688045,0.960207,0.514696,0.489411,0.110994,0.167529,0.509590,0.490828,-0.618166,0.945395,0.489272,0.483746,0.203832,0.996631,0.435523,0.482908,-0.204176,0.998545,0.512040,0.608916,0.267555,0.587792,0.465072,0.611010,-0.144069,0.946374,0.472163,0.733869,0.457224,0.761528,0.443321,0.740712,0.044151,0.958904,0.433468,0.750483,0.463936,0.742624,0.412981,0.756715,0.050446,0.869224,0.545053,0.772387,0.337680,0.849389,0.533659,0.786061,-0.145988,0.958586
310,reference,0.499845,0.232152,-0.420370,0.999809,0.495057,0.219095,-0.382273,0.999417,0.497178,0.219255,-0.382233,0.999161,0.499013,0.219329,-0.382168,0.999023,0.481340,0.218464,-0.433074,0.999667,0.473644,0.218278,-0.433138,0.999701,0.465061,0.218108,-0.433245,0.999729,0.479293,0.223677,-0.152797,0.996316,0.439427,0.222700,-0.381541,0.999672,0.499494,0.245737,-0.326152,0.999099,0.483239,0.245166,-0.392366,0.999665,0.472060,0.300946,0.158356,0.994741,0.404811,0.293473,-0.489981,0.999940,0.465621,0.394153,0.279634,0.057666,0.401547,0.392972,-0.576443,0.993977,0.506117,0.474291,0.151763,0.162804,0.482341,0.474754,-0.607279,0.981749,0.514367,0.500787,0.139733,0.168479,0.492111,0.503512,-0.670929,0.962532,0.519342,0.499238,0.079914,0.176444,0.510348,0.499710,-0.669121,0.961338,0.516900,0.489418,0.119957,0.173445,0.509562,0.490346,-0.602482,0.946793,0.489234,0.483747,0.203222,0.996629,0.435773,0.482893,-0.203571,0.998530,0.512074,0.608889,0.266800,0.585319,0.465117,0.611117,-0.140835,0.946199,0.471731,0.732919,0.451843,0.757151,0.443309,0.741078,0.037481,0.957948,0.433390,0.750244,0.458645,0.740426,0.413184,0.757112,0.043239,0.867306,0.545074,0.769352,0.338131,0.846732,0.535581,0.785903,-0.145026,0.957581
