t,mode,lm0_x,lm0_y,lm0_z,lm0_v,lm1_x,lm1_y,lm1_z,lm1_v,lm2_x,lm2_y,lm2_z,lm2_v,lm3_x,lm3_y,lm3_z,lm3_v,lm4_x,lm4_y,lm4_z,lm4_v,lm5_x,lm5_y,lm5_z,lm5_v,lm6_x,lm6_y,lm6_z,lm6_v,lm7_x,lm7_y,lm7_z,lm7_v,lm8_x,lm8_y,lm8_z,lm8_v,lm9_x,lm9_y,lm9_z,lm9_v,lm10_x,lm10_y,lm10_z,lm10_v,lm11_x,lm11_y,lm11_z,lm11_v,lm12_x,lm12_y,lm12_z,lm12_v,lm13_x,lm13_y,lm13_z,lm13_v,lm14_x,lm14_y,lm14_z,lm14_v,lm15_x,lm15_y,lm15_z,lm15_v,lm16_x,lm16_y,lm16_z,lm16_v,lm17_x,lm17_y,lm17_z,lm17_v,lm18_x,lm18_y,lm18_z,lm18_v,lm19_x,lm19_y,lm19_z,lm19_v,lm20_x,lm20_y,lm20_z,lm20_v,lm21_x,lm21_y,lm21_z,lm21_v,lm22_x,lm22_y,lm22_z,lm22_v,lm23_x,lm23_y,lm23_z,lm23_v,lm24_x,lm24_y,lm24_z,lm24_v,lm25_x,lm25_y,lm25_z,lm25_v,lm26_x,lm26_y,lm26_z,lm26_v,lm27_x,lm27_y,lm27_z,lm27_v,lm28_x,lm28_y,lm28_z,lm28_v,lm29_x,lm29_y,lm29_z,lm29_v,lm30_x,lm30_y,lm30_z,lm30_v,lm31_x,lm31_y,lm31_z,lm31_v,lm32_x,lm32_y,lm32_z,lm32_v
0,reference,0.414727,0.203380,0.016204,0.999800,0.420255,0.188634,-0.028390,0.999759,0.424183,0.187449,-0.028525,0.999749,0.428662,0.186119,-0.028621,0.999820,0.415798,0.189960,0.041785,0.999732,0.416720,0.189732,0.041913,0.999666,0.417967,0.189299,0.041845,0.999720,0.461369,0.184739,-0.137327,0.999843,0.447899,0.187653,0.172659,0.999458,0.433415,0.211735,-0.015911,0.999796,0.426864,0.213307,0.074451,0.999431,0.530674,0.232795,-0.327888,0.999992,0.486324,0.252550,0.398719,0.998679,0.570882,0.323709,-0.411905,0.998292,0.514487,0.339392,0.478612,0.084763,0.447663,0.373747,-0.359814,0.995245,0.433073,0.379875,0.343030,0.143532,0.416503,0.391419,-0.418996,0.987808,0.403346,0.395739,0.343013,0.146980,0.404522,0.381532,-0.385972,0.986371,0.393993,0.390612,0.280303,0.148781,0.413578,0.375768,-0.338992,0.975764,0.406195,0.384214,0.309977,0.153800,0.548079,0.421937,-0.221895,0.999047,0.532142,0.422403,0.221984,0.995226,0.493040,0.557687,-0.211794,0.884980,0.518058,0.549080,0.249093,0.188190,0.518564,0.699353,-0.154372,0.871809,0.538442,0.674230,0.309268,0.303698,0.547884,0.722887,-0.155452,0.887868,0.557369,0.698825,0.307923,0.480157,0.408722,0.728597,-0.281658,0.853194,0.431582,0.704100,0.211609,0.407566
34,reference,0.414609,0.203258,-0.006269,0.999782,0.420207,0.188576,-0.053396,0.999739,0.424183,0.187338,-0.053529,0.999730,0.428666,0.185909,-0.053616,0.999804,0.415733,0.189826,0.019195,0.999704,0.416690,0.189490,0.019293,0.999633,0.417967,0.188882,0.019250,0.999689,0.461333,0.184073,-0.164174,0.999830,0.448359,0.186729,0.157656,0.999393,0.433742,0.211241,-0.038014,0.999779,0.427640,0.212657,0.055558,0.999380,0.530716,0.233067,-0.342638,0.999992,0.488981,0.251473,0.384810,0.998659,0.570880,0.324027,-0.435241,0.998318,0.517128,0.339397,0.473935,0.083640,0.447408,0.371302,-0.368091,0.995258,0.433552,0.379711,0.342689,0.142952,0.414074,0.387904,-0.422913,0.987788,0.403245,0.395784,0.342442,0.147072,0.403274,0.378049,-0.388503,0.986363,0.392999,0.388525,0.279685,0.149018,0.412058,0.372529,-0.345686,0.975733,0.404324,0.383114,0.309621,0.153772,0.544969,0.422307,-0.224502,0.999026,0.530127,0.423172,0.224570,0.995166,0.487430,0.557893,-0.211859,0.884867,0.516502,0.550786,0.258545,0.187514,0.512715,0.699206,-0.151353,0.873342,0.537220,0.675457,0.324188,0.309742,0.545642,0.722166,-0.150977,0.889519,0.558034,0.699096,0.323108,0.485319,0.403279,0.729322,-0.276282,0.856361,0.432378,0.704608,0.230115,0.415273
68,reference,0.413163,0.201117,-0.031308,0.999756,0.419625,0.186929,-0.079916,0.999714,0.423480,0.185942,-0.080052,0.999708,0.427809,0.184718,-0.080148,0.999786,0.415654,0.187468,-0.005035,0.999673,0.416688,0.186883,-0.004946,0.999601,0.418031,0.186033,-0.005002,0.999658,0.460627,0.183519,-0.197359,0.999816,0.448830,0.185106,0.134052,0.999339,0.432529,0.209929,-0.065622,0.999765,0.427468,0.211040,0.030649,0.999334,0.528453,0.233412,-0.376642,0.999992,0.491597,0.250706,0.367757,0.998628,0.567820,0.324165,-0.463534,0.998320,0.518115,0.339532,0.450192,0.079599,0.445920,0.368914,-0.378193,0.995227,0.433681,0.380885,0.310613,0.136561,0.409784,0.383954,-0.432118,0.987683,0.403011,0.399598,0.306338,0.141560,0.400707,0.373438,-0.398175,0.986248,0.389969,0.388353,0.244200,0.143400,0.409319,0.368442,-0.355515,0.975508,0.403977,0.383240,0.277172,0.148038,0.538768,0.424012,-0.226550,0.998989,0.529785,0.425120,0.226615,0.994945,0.478004,0.559415,-0.198556,0.885652,0.514097,0.552727,0.287987,0.189576,0.499275,0.699355,-0.128524,0.875937,0.537964,0.676027,0.374430,0.314274,0.535776,0.722429,-0.128220,0.891489,0.561545,0.699078,0.375762,0.489383,0.391860,0.729860,-0.264789,0.859826,0.442393,0.702501,0.294153,0.422422
103,reference,0.411346,0.200021,-0.049909,0.999708,0.418938,0.186127,-0.100102,0.999670,0.422762,0.185267,-0.100236,0.999668,0.427092,0.184160,-0.100336,0.999753,0.415421,0.186325,-0.023369,0.999618,0.416600,0.185648,-0.023296,0.999541,0.418031,0.184718,-0.023363,0.999602,0.459779,0.183437,-0.220194,0.999789,0.448971,0.184523,0.119635,0.999236,0.430675,0.209231,-0.085024,0.999739,0.426526,0.210180,0.013649,0.999259,0.526098,0.233786,-0.402903,0.999992,0.493189,0.250067,0.360691,0.998585,0.564633,0.324495,-0.494068,0.998306,0.518280,0.339750,0.452503,0.075615,0.442684,0.366971,-0.397244,0.995111,0.432324,0.379753,0.315826,0.129871,0.406939,0.380220,-0.450951,0.987470,0.399582,0.395670,0.312184,0.135940,0.399209,0.369418,-0.417590,0.986015,0.390028,0.386928,0.249547,0.137744,0.407848,0.365343,-0.374390,0.975098,0.402649,0.380685,0.282267,0.142179,0.534246,0.427959,-0.231601,0.998972,0.529788,0.428840,0.231662,0.994758,0.468185,0.562563,-0.181338,0.889271,0.509908,0.554759,0.335776,0.196060,0.493588,0.700351,-0.096618,0.881039,0.540194,0.676067,0.464761,0.323340,0.532107,0.723821,-0.094403,0.895134,0.565860,0.699060,0.470978,0.495867,0.382247,0.730295,-0.231303,0.865688,0.447793,0.701225,0.396898,0.434569
137,reference,0.410469,0.200337,-0.058532,0.999666,0.418121,0.186727,-0.109060,0.999626,0.421912,0.185871,-0.109183,0.999622,0.426266,0.184733,-0.109282,0.999717,0.414984,0.186719,-0.032371,0.999564,0.416294,0.185947,-0.032276,0.999481,0.417898,0.184898,-0.032336,0.999550,0.458613,0.184070,-0.229845,0.999753,0.448951,0.184858,0.110387,0.999145,0.429941,0.209420,-0.094072,0.999711,0.426043,0.210292,0.004779,0.999196,0.525300,0.235671,-0.403588,0.999991,0.493542,0.250097,0.343726,0.998596,0.557347,0.327127,-0.494997,0.998196,0.516126,0.340288,0.432603,0.074005,0.432394,0.365652,-0.405582,0.994680,0.425949,0.379357,0.295582,0.126590,0.395954,0.378250,-0.462051,0.986523,0.392520,0.394248,0.291661,0.133387,0.388866,0.367234,-0.425530,0.984992,0.381998,0.386029,0.227556,0.135143,0.397701,0.363333,-0.382659,0.973438,0.394904,0.379573,0.261652,0.139645,0.533166,0.430459,-0.231579,0.998922,0.529448,0.430904,0.231649,0.994630,0.466869,0.564277,-0.164371,0.890008,0.506609,0.556310,0.331087,0.197728,0.489362,0.702506,-0.059420,0.882845,0.539242,0.677238,0.455696,0.324710,0.519703,0.726026,-0.054354,0.896883,0.564364,0.699086,0.461567,0.495174,0.378627,0.730995,-0.185265,0.867461,0.446710,0.703765,0.380731,0.437429
172,reference,0.410061,0.201403,-0.066942,0.999595,0.417694,0.188021,-0.117148,0.999555,0.421557,0.187216,-0.117294,0.999553,0.425957,0.186104,-0.117403,0.999664,0.414723,0.187793,-0.040306,0.999479,0.416144,0.186970,-0.040247,0.999391,0.417866,0.185850,-0.040335,0.999472,0.458202,0.185530,-0.235642,0.999699,0.448999,0.186113,0.104566,0.999001,0.429800,0.210656,-0.101724,0.999671,0.425966,0.211326,-0.002818,0.999083,0.524702,0.239260,-0.408235,0.999989,0.493472,0.250976,0.342389,0.998564,0.554505,0.331071,-0.500682,0.998094,0.510157,0.341800,0.430160,0.072417,0.424558,0.365075,-0.418249,0.994360,0.415336,0.379051,0.287431,0.123992,0.389386,0.376707,-0.475428,0.985842,0.381648,0.391294,0.282589,0.131405,0.382960,0.365584,-0.439859,0.984240,0.375637,0.383879,0.219733,0.133164,0.391765,0.362052,-0.395697,0.972168,0.386521,0.378879,0.253570,0.137556,0.531860,0.434420,-0.231723,0.998825,0.528089,0.434559,0.231792,0.994162,0.461718,0.568174,-0.160572,0.888355,0.499397,0.558549,0.346559,0.197795,0.482022,0.704367,-0.062928,0.883789,0.537154,0.677232,0.490220,0.324524,0.509550,0.728641,-0.059909,0.897837,0.560613,0.698409,0.498160,0.495312,0.365543,0.731210,-0.198338,0.868320,0.451810,0.703478,0.420141,0.440301
206,reference,0.409346,0.203972,-0.071775,0.999519,0.417015,0.190987,-0.121810,0.999476,0.420844,0.190223,-0.121947,0.999477,0.425228,0.189134,-0.122061,0.999606,0.414340,0.190591,-0.045927,0.999375,0.415916,0.189690,-0.045872,0.999279,0.417808,0.188484,-0.045971,0.999373,0.457321,0.188426,-0.237488,0.999638,0.449000,0.188910,0.098104,0.998838,0.429441,0.212849,-0.105217,0.999629,0.425852,0.213506,-0.007715,0.998968,0.522396,0.242015,-0.411974,0.999989,0.494198,0.252213,0.341027,0.998542,0.552921,0.333332,-0.505865,0.998070,0.510300,0.343816,0.432422,0.070146,0.423484,0.365025,-0.425355,0.994289,0.416061,0.377920,0.291553,0.120475,0.387166,0.376415,-0.482228,0.985700,0.379870,0.390759,0.287537,0.128796,0.380340,0.364837,-0.446588,0.984084,0.374654,0.381599,0.225238,0.130611,0.389449,0.361394,-0.402595,0.971932,0.384665,0.377141,0.257956,0.134771,0.529165,0.437659,-0.231803,0.998729,0.528012,0.437106,0.231873,0.993777,0.456730,0.569462,-0.139990,0.892024,0.499685,0.558718,0.342605,0.205889,0.477019,0.705104,-0.019671,0.888146,0.542086,0.676086,0.488382,0.338458,0.504594,0.729791,-0.013525,0.901939,0.565734,0.693920,0.496449,0.508435,0.357877,0.731622,-0.139046,0.872732,0.472047,0.701562,0.423752,0.455920
241,reference,0.409168,0.207238,-0.085389,0.999458,0.416974,0.194113,-0.135549,0.999415,0.420818,0.193435,-0.135686,0.999419,0.425210,0.192464,-0.135814,0.999564,0.414335,0.193582,-0.059938,0.999294,0.415949,0.192676,-0.059901,0.999195,0.417970,0.191533,-0.059991,0.999302,0.457320,0.192261,-0.250137,0.999597,0.449278,0.192395,0.084583,0.998700,0.429332,0.216067,-0.118576,0.999598,0.425844,0.216609,-0.021400,0.998873,0.522185,0.245869,-0.415862,0.999987,0.494351,0.255321,0.326774,0.998491,0.551437,0.337599,-0.494210,0.997898,0.507639,0.347333,0.416862,0.068641,0.421914,0.365201,-0.332924,0.993516,0.411662,0.375344,0.262803,0.118429,0.385817,0.375515,-0.376647,0.984132,0.377177,0.385830,0.253059,0.127811,0.380272,0.364369,-0.350073,0.982391,0.369120,0.375669,0.194290,0.129841,0.389206,0.360973,-0.311665,0.969475,0.381499,0.372833,0.229467,0.133771,0.529188,0.442001,-0.231705,0.998643,0.527049,0.440892,0.231777,0.993345,0.454117,0.572950,-0.139662,0.893197,0.494372,0.561925,0.375675,0.209249,0.473132,0.707857,-0.032658,0.891331,0.541989,0.675560,0.551217,0.346363,0.499539,0.732691,-0.028409,0.903631,0.565963,0.691723,0.562352,0.514852,0.354170,0.732978,-0.163816,0.876547,0.466979,0.701339,0.494403,0.468377
275,reference,0.408469,0.210734,-0.090703,0.999404,0.416678,0.197364,-0.140147,0.999359,0.420530,0.196805,-0.140296,0.999368,0.424926,0.196009,-0.140436,0.999524,0.414235,0.197098,-0.065421,0.999223,0.415930,0.196462,-0.065373,0.999125,0.417983,0.195585,-0.065470,0.999236,0.457264,0.196486,-0.253188,0.999559,0.449508,0.196697,0.076972,0.998583,0.428569,0.219733,-0.123493,0.999569,0.425248,0.220357,-0.027629,0.998782,0.521820,0.250094,-0.415523,0.999986,0.494333,0.260539,0.319301,0.998426,0.550844,0.343672,-0.475262,0.997746,0.508715,0.352295,0.413785,0.066162,0.421282,0.365449,-0.312377,0.992967,0.412889,0.374802,0.271136,0.114223,0.385436,0.375560,-0.355579,0.983005,0.378498,0.384744,0.263258,0.124389,0.379894,0.364601,-0.327191,0.981163,0.370557,0.374351,0.205121,0.126475,0.388760,0.361009,-0.290309,0.967689,0.382265,0.371846,0.238521,0.130152,0.529447,0.446921,-0.230369,0.998549,0.526764,0.445725,0.230452,0.992839,0.453741,0.577867,-0.128709,0.893592,0.494463,0.565646,0.375432,0.212406,0.471176,0.711558,-0.011075,0.893001,0.542006,0.675214,0.555684,0.354636,0.496031,0.734690,-0.005723,0.904704,0.566090,0.690423,0.567229,0.522032,0.355672,0.735470,-0.135726,0.878658,0.469344,0.705594,0.502334,0.479517
310,reference,0.408341,0.214898,-0.113802,0.999412,0.416624,0.201098,-0.163371,0.999367,0.420467,0.200572,-0.163500,0.999378,0.424850,0.199836,-0.163626,0.999531,0.414228,0.200881,-0.087330,0.999231,0.415936,0.200317,-0.087276,0.999139,0.418033,0.199530,-0.087365,0.999247,0.457196,0.200466,-0.272922,0.999564,0.449512,0.200703,0.062762,0.998594,0.428427,0.223716,-0.145514,0.999580,0.425175,0.224375,-0.048104,0.998805,0.521686,0.254118,-0.432173,0.999985,0.493757,0.265690,0.309316,0.998455,0.550479,0.347408,-0.467239,0.997635,0.507135,0.357297,0.384061,0.065250,0.419820,0.366744,-0.287723,0.992509,0.409783,0.375605,0.205215,0.113586,0.385208,0.375956,-0.331017,0.982016,0.378487,0.385973,0.189030,0.124512,0.380468,0.364650,-0.307722,0.980092,0.371396,0.375340,0.132820,0.126809,0.389215,0.361141,-0.267218,0.966154,0.381964,0.372384,0.171712,0.130256,0.529526,0.450285,-0.230388,0.998559,0.525285,0.448765,0.230480,0.992848,0.452868,0.578899,-0.135105,0.899455,0.489921,0.566696,0.417355,0.229841,0.467233,0.713239,-0.024383,0.899807,0.545332,0.673373,0.628519,0.384597,0.491855,0.737586,-0.020463,0.909126,0.574043,0.685552,0.642956,0.544880,0.349280,0.736007,-0.158290,0.886099,0.482648,0.705151,0.582409,0.508325
