t,mode,lm0_x,lm0_y,lm0_z,lm0_v,lm1_x,lm1_y,lm1_z,lm1_v,lm2_x,lm2_y,lm2_z,lm2_v,lm3_x,lm3_y,lm3_z,lm3_v,lm4_x,lm4_y,lm4_z,lm4_v,lm5_x,lm5_y,lm5_z,lm5_v,lm6_x,lm6_y,lm6_z,lm6_v,lm7_x,lm7_y,lm7_z,lm7_v,lm8_x,lm8_y,lm8_z,lm8_v,lm9_x,lm9_y,lm9_z,lm9_v,lm10_x,lm10_y,lm10_z,lm10_v,lm11_x,lm11_y,lm11_z,lm11_v,lm12_x,lm12_y,lm12_z,lm12_v,lm13_x,lm13_y,lm13_z,lm13_v,lm14_x,lm14_y,lm14_z,lm14_v,lm15_x,lm15_y,lm15_z,lm15_v,lm16_x,lm16_y,lm16_z,lm16_v,lm17_x,lm17_y,lm17_z,lm17_v,lm18_x,lm18_y,lm18_z,lm18_v,lm19_x,lm19_y,lm19_z,lm19_v,lm20_x,lm20_y,lm20_z,lm20_v,lm21_x,lm21_y,lm21_z,lm21_v,lm22_x,lm22_y,lm22_z,lm22_v,lm23_x,lm23_y,lm23_z,lm23_v,lm24_x,lm24_y,lm24_z,lm24_v,lm25_x,lm25_y,lm25_z,lm25_v,lm26_x,lm26_y,lm26_z,lm26_v,lm27_x,lm27_y,lm27_z,lm27_v,lm28_x,lm28_y,lm28_z,lm28_v,lm29_x,lm29_y,lm29_z,lm29_v,lm30_x,lm30_y,lm30_z,lm30_v,lm31_x,lm31_y,lm31_z,lm31_v,lm32_x,lm32_y,lm32_z,lm32_v
0,lateral_step_down_ref,0.592220,0.200531,-0.171122,0.999773,0.585000,0.186077,-0.147464,0.999726,0.584307,0.186194,-0.147470,0.999678,0.582974,0.186240,-0.147419,0.999699,0.576659,0.185184,-0.227423,0.999747,0.569776,0.184661,-0.227555,0.999716,0.562894,0.184108,-0.227660,0.999776,0.546771,0.191525,0.009288,0.999431,0.527419,0.189448,-0.350941,0.999860,0.582177,0.216103,-0.102586,0.999773,0.572678,0.214153,-0.206633,0.999886,0.496392,0.270921,0.244044,0.999446,0.471319,0.263136,-0.484346,0.999962,0.452872,0.371709,0.341298,0.059220,0.431232,0.377773,-0.424399,0.980163,0.562131,0.376640,0.109184,0.100019,0.580680,0.370944,-0.109891,0.898180,0.587262,0.385873,0.070136,0.126000,0.618697,0.373380,-0.121943,0.859800,0.590201,0.371117,0.023967,0.135350,0.617889,0.359791,-0.121539,0.853303,0.582227,0.370019,0.075926,0.143055,0.605589,0.357616,-0.096090,0.816912,0.477597,0.474450,0.224106,0.996462,0.451658,0.474570,-0.224048,0.998154,0.491894,0.613102,0.368108,0.464173,0.473579,0.623624,-0.094769,0.959092,0.477456,0.750208,0.557868,0.693018,0.471427,0.771318,0.090990,0.960455,0.445429,0.771452,0.564486,0.735601,0.435935,0.791786,0.099764,0.943253,0.571669,0.776201,0.441863,0.830504,0.578512,0.810942,-0.078069,0.957350
33,lateral_step_down_ref,0.593372,0.200523,-0.188129,0.999652,0.585526,0.185836,-0.162937,0.999569,0.584543,0.185890,-0.163000,0.999483,0.583003,0.185870,-0.162982,0.999520,0.578370,0.185017,-0.242541,0.999624,0.571876,0.184492,-0.242686,0.999586,0.564983,0.183947,-0.242864,0.999687,0.545999,0.190821,-0.006747,0.999068,0.528440,0.189147,-0.364921,0.999805,0.582506,0.216091,-0.119961,0.999650,0.574418,0.214151,-0.223391,0.999840,0.497882,0.270842,0.237446,0.999229,0.468823,0.263081,-0.501459,0.999954,0.459523,0.369734,0.351694,0.056830,0.429660,0.378196,-0.489377,0.979446,0.562175,0.381521,0.178524,0.094191,0.580751,0.371455,-0.264003,0.897944,0.586770,0.395303,0.150257,0.119230,0.618698,0.374075,-0.295172,0.860712,0.590037,0.380304,0.100406,0.127960,0.618033,0.360478,-0.287891,0.854374,0.582227,0.378163,0.145575,0.135405,0.605602,0.358617,-0.250043,0.817392,0.482424,0.475341,0.222830,0.996317,0.451771,0.475738,-0.222734,0.998039,0.495009,0.613914,0.369254,0.465986,0.471863,0.623623,-0.080346,0.958224,0.477488,0.750566,0.569014,0.694809,0.470953,0.770113,0.147902,0.958914,0.445418,0.771455,0.576424,0.737348,0.435930,0.789610,0.161530,0.940577,0.571457,0.778583,0.446647,0.830207,0.577712,0.810068,-0.026152,0.956094
66,lateral_step_down_ref,0.593958,0.203449,-0.187242,0.999381,0.586014,0.188570,-0.161653,0.999185,0.584892,0.188509,-0.161765,0.999028,0.583221,0.188341,-0.161785,0.999117,0.579567,0.187791,-0.241910,0.999314,0.573584,0.187245,-0.242053,0.999273,0.566706,0.186593,-0.242187,0.999463,0.545897,0.192073,-0.005768,0.998169,0.529420,0.190805,-0.365283,0.999651,0.582532,0.218346,-0.118907,0.999326,0.575048,0.216651,-0.221796,0.999719,0.498008,0.270968,0.240657,0.999012,0.468843,0.263263,-0.506925,0.999942,0.461845,0.368998,0.383480,0.054439,0.429565,0.379372,-0.510743,0.978755,0.562195,0.383468,0.235615,0.088628,0.580873,0.374001,-0.297954,0.898029,0.577410,0.398707,0.210354,0.112875,0.618707,0.375266,-0.330381,0.862135,0.589937,0.381876,0.161884,0.121041,0.618088,0.362698,-0.324725,0.856054,0.576379,0.381558,0.203402,0.128195,0.605618,0.361375,-0.284610,0.818231,0.483668,0.476148,0.222870,0.996126,0.453449,0.477707,-0.222766,0.997817,0.499061,0.613778,0.368744,0.457588,0.471871,0.622256,-0.078496,0.954347,0.477017,0.749953,0.568304,0.683627,0.472330,0.766114,0.158043,0.953578,0.445374,0.771219,0.575626,0.729856,0.439130,0.786334,0.173153,0.935314,0.569815,0.777116,0.446604,0.820734,0.577723,0.808582,-0.008599,0.951901
100,lateral_step_down_ref,0.596110,0.207027,-0.131764,0.999007,0.589026,0.191633,-0.104625,0.998550,0.587669,0.191546,-0.104760,0.998299,0.585691,0.191349,-0.104765,0.998426,0.582960,0.190513,-0.183749,0.998857,0.577514,0.189787,-0.183891,0.998844,0.570895,0.188988,-0.184145,0.999149,0.547143,0.194156,0.047678,0.996566,0.532540,0.192431,-0.307503,0.999390,0.583515,0.221230,-0.065818,0.998699,0.576568,0.219353,-0.168527,0.999498,0.500424,0.272025,0.274203,0.998410,0.468411,0.263306,-0.459550,0.999925,0.465393,0.369022,0.417744,0.053195,0.428968,0.379198,-0.491053,0.978445,0.562513,0.383190,0.277167,0.083814,0.580328,0.374760,-0.322944,0.900590,0.577682,0.396608,0.256029,0.107230,0.618484,0.375376,-0.355512,0.866028,0.590262,0.382291,0.207314,0.114972,0.617938,0.363032,-0.349670,0.860298,0.575827,0.380939,0.245501,0.121823,0.605268,0.361591,-0.310131,0.822288,0.487892,0.477342,0.216995,0.995495,0.451168,0.478525,-0.216797,0.997456,0.504642,0.614088,0.266883,0.448297,0.470429,0.620866,-0.159810,0.950651,0.476807,0.750061,0.398268,0.675030,0.474107,0.764501,-0.023581,0.949864,0.445345,0.771792,0.397568,0.719186,0.441894,0.784146,-0.020524,0.930290,0.568972,0.783459,0.263742,0.813514,0.578863,0.808606,-0.209326,0.949332
133,lateral_step_down_ref,0.598648,0.212217,-0.140396,0.998834,0.591630,0.197633,-0.114174,0.998319,0.590202,0.197588,-0.114272,0.998018,0.588172,0.197412,-0.114262,0.998135,0.585460,0.196571,-0.193734,0.998693,0.579959,0.195898,-0.193874,0.998679,0.573157,0.195028,-0.194089,0.999031,0.550469,0.199443,0.039712,0.995896,0.535423,0.197589,-0.317787,0.999308,0.585126,0.225268,-0.073650,0.998431,0.578367,0.223549,-0.176990,0.999421,0.502360,0.275018,0.270790,0.998156,0.468697,0.266357,-0.464114,0.999917,0.467815,0.369039,0.407724,0.052033,0.428401,0.382156,-0.481875,0.978002,0.564218,0.382213,0.268051,0.081465,0.580124,0.376896,-0.262354,0.903188,0.588271,0.389296,0.240482,0.105185,0.618482,0.376319,-0.286803,0.869983,0.592294,0.376443,0.170100,0.112700,0.617874,0.363991,-0.283133,0.864570,0.579578,0.377015,0.226597,0.119194,0.605122,0.362365,-0.248901,0.826864,0.487777,0.478628,0.217589,0.995231,0.451212,0.480029,-0.217385,0.997343,0.505250,0.614118,0.286557,0.439866,0.471544,0.620875,-0.161695,0.949011,0.476267,0.750215,0.457051,0.668777,0.478112,0.764690,-0.020730,0.947938,0.444827,0.771879,0.461304,0.711191,0.445393,0.784431,-0.016309,0.927983,0.567533,0.783172,0.324629,0.808888,0.579276,0.807920,-0.199086,0.948203
166,lateral_step_down_ref,0.601508,0.215102,-0.172390,0.998825,0.594601,0.200295,-0.147595,0.998346,0.593096,0.200157,-0.147631,0.998065,0.590991,0.199910,-0.147588,0.998161,0.588590,0.199411,-0.226983,0.998692,0.583301,0.198764,-0.227141,0.998679,0.576600,0.197992,-0.227299,0.999019,0.553240,0.201706,0.005290,0.996037,0.539551,0.200510,-0.351338,0.999320,0.587682,0.227989,-0.105880,0.998451,0.581428,0.226050,-0.208972,0.999425,0.503363,0.278085,0.235090,0.998186,0.471039,0.272278,-0.485108,0.999915,0.468303,0.370635,0.319411,0.051024,0.427566,0.385383,-0.458765,0.977274,0.564662,0.383913,0.091650,0.080354,0.580284,0.378717,-0.139818,0.902057,0.591108,0.389967,0.048049,0.104238,0.618481,0.377456,-0.150078,0.869244,0.593001,0.377614,0.004433,0.111611,0.617808,0.364854,-0.149773,0.863934,0.581325,0.378295,0.058153,0.118088,0.605105,0.363641,-0.125395,0.826401,0.487473,0.482091,0.218424,0.995245,0.451920,0.484134,-0.218237,0.997336,0.507045,0.614793,0.377394,0.438028,0.473270,0.622509,-0.076240,0.949119,0.476918,0.748556,0.576381,0.663824,0.478606,0.765330,0.142967,0.946817,0.445202,0.770980,0.585370,0.710277,0.445283,0.784550,0.158289,0.927495,0.568592,0.781065,0.481276,0.805416,0.583935,0.807394,-0.002640,0.947118
200,lateral_step_down_ref,0.608721,0.216084,-0.203971,0.998737,0.602225,0.201155,-0.178668,0.998281,0.600434,0.200927,-0.178733,0.997999,0.597912,0.200603,-0.178718,0.998087,0.597069,0.200361,-0.260020,0.998603,0.591947,0.199663,-0.260162,0.998581,0.585858,0.198861,-0.260323,0.998935,0.557265,0.202287,-0.024304,0.995986,0.546655,0.201112,-0.390159,0.999284,0.594973,0.230166,-0.136564,0.998399,0.589435,0.228319,-0.242321,0.999393,0.502761,0.279157,0.210814,0.998196,0.477855,0.274153,-0.516538,0.999909,0.465546,0.373731,0.321147,0.049212,0.428519,0.392014,-0.467588,0.974779,0.564674,0.385970,0.094642,0.077450,0.580957,0.379809,-0.151667,0.896674,0.590989,0.394466,0.053492,0.100925,0.619425,0.379853,-0.163568,0.864760,0.592994,0.379944,0.013027,0.108004,0.618521,0.366733,-0.162261,0.859528,0.582071,0.380179,0.058919,0.114436,0.605688,0.365364,-0.137019,0.820822,0.484345,0.483035,0.218568,0.995182,0.452392,0.486563,-0.218391,0.997211,0.510595,0.615725,0.401086,0.430306,0.476155,0.625319,-0.042631,0.946776,0.479035,0.745879,0.618676,0.652263,0.480996,0.765732,0.218546,0.942256,0.446083,0.768905,0.629005,0.705216,0.445317,0.784768,0.236989,0.923797,0.572906,0.775363,0.516165,0.796995,0.586518,0.805854,0.068043,0.943031
233,lateral_step_down_ref,0.611746,0.218794,-0.200749,0.998763,0.605601,0.204294,-0.175538,0.998344,0.603953,0.204073,-0.175583,0.998077,0.601550,0.203753,-0.175568,0.998145,0.600294,0.203429,-0.257048,0.998636,0.595165,0.202681,-0.257174,0.998615,0.589163,0.201871,-0.257328,0.998950,0.561480,0.205932,-0.019040,0.996173,0.550460,0.204220,-0.385167,0.999317,0.598568,0.232807,-0.132554,0.998467,0.592969,0.231007,-0.238522,0.999417,0.503662,0.280963,0.216791,0.998269,0.479107,0.276760,-0.512221,0.999910,0.466467,0.374554,0.295250,0.048398,0.428498,0.394421,-0.439169,0.974157,0.565279,0.385662,0.041213,0.077480,0.580861,0.381400,-0.091674,0.898165,0.593428,0.388282,-0.002326,0.100802,0.619313,0.381356,-0.097925,0.866467,0.593316,0.376874,-0.031613,0.107701,0.618394,0.368360,-0.101500,0.861315,0.583058,0.377568,0.012643,0.114454,0.605586,0.367097,-0.077712,0.822931,0.484306,0.483928,0.218949,0.995246,0.451286,0.487016,-0.218812,0.997149,0.515175,0.617091,0.392049,0.423164,0.476157,0.626098,-0.050509,0.943045,0.479021,0.746647,0.595307,0.639322,0.482744,0.766491,0.196158,0.936349,0.445632,0.769365,0.603549,0.699356,0.446774,0.784850,0.214190,0.919703,0.573171,0.775023,0.487800,0.786383,0.589209,0.807294,0.051216,0.937692
266,lateral_step_down_ref,0.614047,0.223160,-0.181929,0.998836,0.608376,0.209317,-0.156362,0.998450,0.607008,0.209241,-0.156388,0.998203,0.604844,0.209046,-0.156342,0.998257,0.602454,0.208139,-0.239324,0.998718,0.597121,0.207301,-0.239473,0.998700,0.590812,0.206415,-0.239607,0.999012,0.566212,0.211256,0.000356,0.996432,0.552709,0.208928,-0.371807,0.999364,0.601182,0.236814,-0.114115,0.998561,0.595199,0.234893,-0.221907,0.999454,0.509573,0.285669,0.229156,0.998304,0.479073,0.279460,-0.497527,0.999913,0.469196,0.378156,0.280252,0.048416,0.428578,0.398399,-0.417039,0.974635,0.565336,0.385377,-0.012192,0.079134,0.580736,0.383748,-0.078553,0.901827,0.594149,0.385553,-0.059910,0.102930,0.618476,0.382502,-0.082475,0.870573,0.593318,0.376848,-0.085450,0.109813,0.617217,0.369407,-0.086281,0.865561,0.583475,0.375961,-0.039862,0.116683,0.604772,0.368431,-0.064159,0.827949,0.484525,0.485688,0.219044,0.995200,0.450916,0.488180,-0.218911,0.997152,0.516827,0.617378,0.382510,0.418128,0.481040,0.627110,-0.087829,0.942342,0.479342,0.746852,0.566111,0.631344,0.488583,0.772503,0.076462,0.934881,0.445773,0.769392,0.573501,0.693653,0.455025,0.791474,0.084877,0.918739,0.572468,0.774552,0.480880,0.781901,0.603004,0.812996,-0.081664,0.936356
300,lateral_step_down_ref,0.616038,0.227047,-0.110175,0.998821,0.610616,0.213222,-0.082508,0.998446,0.609297,0.213155,-0.082607,0.998197,0.607168,0.213007,-0.082607,0.998257,0.604445,0.212040,-0.163320,0.998710,0.598952,0.211192,-0.163459,0.998687,0.592454,0.210327,-0.163647,0.999008,0.568012,0.214921,0.063329,0.996447,0.554480,0.212494,-0.298197,0.999358,0.602921,0.240451,-0.047098,0.998508,0.596848,0.238527,-0.151889,0.999434,0.509625,0.286701,0.290641,0.998249,0.480201,0.279431,-0.446291,0.999912,0.472316,0.379418,0.384826,0.048604,0.428580,0.397790,-0.406467,0.973940,0.565765,0.385174,0.221750,0.078749,0.579236,0.385825,-0.106769,0.902950,0.595232,0.385274,0.199975,0.102777,0.614816,0.384665,-0.115467,0.872681,0.594262,0.376406,0.171061,0.109435,0.614181,0.371181,-0.116723,0.867905,0.584863,0.375946,0.197273,0.116063,0.603174,0.370289,-0.092722,0.830868,0.477314,0.485497,0.219544,0.994935,0.450495,0.487867,-0.219350,0.997101,0.511414,0.617541,0.346747,0.404150,0.485636,0.627076,-0.173399,0.939724,0.477394,0.746373,0.490703,0.616065,0.491725,0.773901,-0.097123,0.931121,0.443989,0.768863,0.492846,0.679357,0.459506,0.794250,-0.097754,0.916117,0.569503,0.768314,0.403384,0.770024,0.606940,0.812814,-0.255767,0.933792
