t,mode,lm0_x,lm0_y,lm0_z,lm0_v,lm1_x,lm1_y,lm1_z,lm1_v,lm2_x,lm2_y,lm2_z,lm2_v,lm3_x,lm3_y,lm3_z,lm3_v,lm4_x,lm4_y,lm4_z,lm4_v,lm5_x,lm5_y,lm5_z,lm5_v,lm6_x,lm6_y,lm6_z,lm6_v,lm7_x,lm7_y,lm7_z,lm7_v,lm8_x,lm8_y,lm8_z,lm8_v,lm9_x,lm9_y,lm9_z,lm9_v,lm10_x,lm10_y,lm10_z,lm10_v,lm11_x,lm11_y,lm11_z,lm11_v,lm12_x,lm12_y,lm12_z,lm12_v,lm13_x,lm13_y,lm13_z,lm13_v,lm14_x,lm14_y,lm14_z,lm14_v,lm15_x,lm15_y,lm15_z,lm15_v,lm16_x,lm16_y,lm16_z,lm16_v,lm17_x,lm17_y,lm17_z,lm17_v,lm18_x,lm18_y,lm18_z,lm18_v,lm19_x,lm19_y,lm19_z,lm19_v,lm20_x,lm20_y,lm20_z,lm20_v,lm21_x,lm21_y,lm21_z,lm21_v,lm22_x,lm22_y,lm22_z,lm22_v,lm23_x,lm23_y,lm23_z,lm23_v,lm24_x,lm24_y,lm24_z,lm24_v,lm25_x,lm25_y,lm25_z,lm25_v,lm26_x,lm26_y,lm26_z,lm26_v,lm27_x,lm27_y,lm27_z,lm27_v,lm28_x,lm28_y,lm28_z,lm28_v,lm29_x,lm29_y,lm29_z,lm29_v,lm30_x,lm30_y,lm30_z,lm30_v,lm31_x,lm31_y,lm31_z,lm31_v,lm32_x,lm32_y,lm32_z,lm32_v
0,single_leg_squat_ref,0.514152,0.233799,-0.654108,0.999983,0.530720,0.220152,-0.622151,0.999959,0.541336,0.220643,-0.622188,0.999947,0.549500,0.221330,-0.622213,0.999938,0.499911,0.220573,-0.615261,0.999966,0.490019,0.221160,-0.615366,0.999965,0.481949,0.221876,-0.615426,0.999971,0.562940,0.228572,-0.388517,0.999923,0.473520,0.229500,-0.356807,0.999962,0.536809,0.250100,-0.562262,0.999986,0.497962,0.250058,-0.553404,0.999990,0.641642,0.318128,-0.234891,0.999887,0.412069,0.319198,-0.195816,0.999937,0.678746,0.421500,-0.253563,0.975079,0.359175,0.417487,-0.276383,0.982918,0.565855,0.444512,-0.532833,0.920434,0.475173,0.440102,-0.631481,0.966783,0.544680,0.455251,-0.612315,0.861592,0.511166,0.447346,-0.720214,0.937310,0.534736,0.437981,-0.627212,0.854794,0.517497,0.430748,-0.723778,0.932246,0.539559,0.433844,-0.540715,0.831791,0.506977,0.428364,-0.637069,0.908116,0.589825,0.524488,-0.013746,0.999734,0.461864,0.521024,0.013491,0.999724,0.572504,0.671557,-0.008777,0.993844,0.443392,0.662048,0.092812,0.995414,0.559489,0.770114,0.625289,0.985989,0.432191,0.765561,0.620252,0.990953,0.543951,0.776937,0.674473,0.893687,0.445769,0.775673,0.662365,0.889116,0.562244,0.823970,0.424004,0.976861,0.412530,0.820451,0.402931,0.983635
33,single_leg_squat_ref,0.515924,0.234483,-0.563719,0.999982,0.531854,0.220656,-0.532170,0.999956,0.542403,0.221053,-0.532195,0.999943,0.550277,0.221664,-0.532211,0.999935,0.501291,0.221023,-0.528742,0.999963,0.491333,0.221665,-0.528808,0.999963,0.482648,0.222434,-0.528838,0.999969,0.564242,0.229343,-0.313024,0.999917,0.474070,0.230210,-0.296998,0.999959,0.537888,0.250944,-0.478350,0.999985,0.499880,0.251560,-0.473519,0.999989,0.643840,0.318692,-0.188937,0.999882,0.411719,0.319657,-0.165814,0.999934,0.678796,0.421377,-0.193764,0.973235,0.362240,0.418626,-0.231631,0.981759,0.570364,0.444430,-0.454072,0.918343,0.476282,0.440247,-0.538458,0.964462,0.548498,0.456264,-0.528577,0.860660,0.511420,0.447529,-0.619599,0.934417,0.538356,0.439638,-0.544927,0.853988,0.517596,0.432095,-0.624843,0.929397,0.542551,0.434558,-0.462781,0.831198,0.507277,0.428667,-0.544522,0.905171,0.590926,0.525356,-0.012205,0.999719,0.461685,0.522341,0.011955,0.999711,0.572616,0.672628,0.006131,0.993710,0.444805,0.662812,0.094293,0.995262,0.559248,0.769976,0.624785,0.985857,0.436665,0.765325,0.610778,0.990570,0.544211,0.776808,0.673600,0.893203,0.451472,0.774665,0.652240,0.888026,0.561923,0.824844,0.432778,0.976308,0.413082,0.820289,0.404501,0.982847
66,single_leg_squat_ref,0.518131,0.235335,-0.524007,0.999980,0.533928,0.221482,-0.494082,0.999951,0.544311,0.221812,-0.494101,0.999938,0.551923,0.222367,-0.494106,0.999929,0.503374,0.221776,-0.489734,0.999960,0.493396,0.222463,-0.489789,0.999959,0.484016,0.223330,-0.489820,0.999967,0.566262,0.230328,-0.283853,0.999906,0.475069,0.231281,-0.264916,0.999955,0.539719,0.251715,-0.442124,0.999983,0.501853,0.252752,-0.436242,0.999987,0.646760,0.318693,-0.171243,0.999875,0.411742,0.319838,-0.148554,0.999931,0.679193,0.421236,-0.164603,0.971701,0.366366,0.419034,-0.208897,0.980485,0.574833,0.444628,-0.398723,0.917668,0.477380,0.440663,-0.499895,0.962509,0.553165,0.457630,-0.470848,0.861685,0.512619,0.447985,-0.580090,0.932350,0.542824,0.441423,-0.487565,0.855214,0.518824,0.433603,-0.586321,0.927456,0.546474,0.435883,-0.407036,0.832913,0.508324,0.429472,-0.506533,0.903430,0.593136,0.526661,-0.010337,0.999707,0.461705,0.525062,0.010089,0.999704,0.574045,0.672604,0.023656,0.993483,0.446314,0.664607,0.101112,0.995068,0.559837,0.766819,0.641182,0.985460,0.439774,0.764774,0.612807,0.990148,0.546861,0.771815,0.691926,0.892892,0.454434,0.772688,0.655286,0.887404,0.561996,0.824838,0.479810,0.975464,0.413345,0.820414,0.431228,0.981944
100,single_leg_squat_ref,0.519988,0.236878,-0.496845,0.999979,0.535938,0.222562,-0.466115,0.999950,0.546464,0.222832,-0.466128,0.999936,0.553940,0.223335,-0.466124,0.999927,0.505482,0.222877,-0.461774,0.999958,0.495506,0.223634,-0.461821,0.999958,0.485667,0.224477,-0.461838,0.999965,0.568880,0.231805,-0.260240,0.999900,0.476720,0.232425,-0.241793,0.999952,0.541153,0.253528,-0.417300,0.999982,0.503461,0.254526,-0.411531,0.999987,0.650015,0.320010,-0.152133,0.999872,0.412391,0.320407,-0.129681,0.999929,0.681391,0.421233,-0.140252,0.971400,0.371695,0.419735,-0.186571,0.979914,0.582008,0.445265,-0.368530,0.920001,0.478166,0.441090,-0.478042,0.962513,0.561104,0.459365,-0.438907,0.866206,0.513825,0.448883,-0.557344,0.932926,0.551050,0.443461,-0.453107,0.859992,0.519807,0.434822,-0.561573,0.928218,0.553825,0.437708,-0.375293,0.838266,0.509073,0.430446,-0.483642,0.904776,0.595426,0.527966,-0.009449,0.999699,0.461880,0.526013,0.009176,0.999698,0.574132,0.672596,0.024879,0.993358,0.447626,0.664433,0.101905,0.994904,0.559911,0.764644,0.642263,0.985297,0.441419,0.764259,0.611810,0.989820,0.547907,0.769318,0.693264,0.893194,0.456411,0.772015,0.654536,0.886958,0.561962,0.824819,0.485626,0.974971,0.413517,0.820388,0.433021,0.981224
133,single_leg_squat_ref,0.523334,0.239266,-0.397762,0.999979,0.539642,0.224606,-0.371412,0.999948,0.550166,0.224853,-0.371434,0.999933,0.557406,0.225335,-0.371443,0.999926,0.508792,0.224813,-0.366826,0.999957,0.498687,0.225562,-0.366871,0.999956,0.488539,0.226358,-0.366893,0.999964,0.572716,0.233679,-0.193914,0.999894,0.479703,0.234091,-0.174569,0.999950,0.544176,0.255915,-0.328955,0.999981,0.506260,0.257023,-0.322796,0.999986,0.653602,0.320591,-0.106149,0.999874,0.414704,0.321793,-0.090975,0.999929,0.683091,0.420803,-0.084982,0.971712,0.379300,0.421039,-0.136304,0.979955,0.590620,0.445563,-0.271673,0.923634,0.479726,0.442933,-0.377959,0.963316,0.569699,0.459924,-0.331154,0.872682,0.515238,0.453195,-0.443677,0.934872,0.558957,0.443832,-0.340545,0.866731,0.520665,0.438873,-0.446302,0.930384,0.561256,0.438395,-0.275268,0.845896,0.510054,0.434239,-0.381295,0.907908,0.597220,0.528947,-0.005611,0.999704,0.462589,0.526696,0.005255,0.999702,0.574306,0.672643,-0.004745,0.993205,0.449608,0.665419,0.070286,0.994697,0.560014,0.764502,0.556326,0.984944,0.441489,0.763925,0.520502,0.989300,0.548156,0.768911,0.603905,0.892322,0.456327,0.771077,0.559170,0.883658,0.562182,0.824815,0.435947,0.974011,0.413495,0.820389,0.372431,0.980101
166,single_leg_squat_ref,0.526451,0.240638,-0.464992,0.999977,0.542996,0.225933,-0.436672,0.999944,0.553873,0.226087,-0.436712,0.999928,0.561443,0.226483,-0.436721,0.999921,0.511475,0.226345,-0.430946,0.999954,0.501077,0.227074,-0.430989,0.999952,0.491203,0.227883,-0.431030,0.999961,0.576957,0.234603,-0.238503,0.999885,0.482809,0.235503,-0.213672,0.999945,0.547913,0.257250,-0.387713,0.999980,0.509060,0.258686,-0.380068,0.999985,0.658417,0.322145,-0.130113,0.999868,0.417487,0.322261,-0.111858,0.999926,0.684695,0.421114,-0.110910,0.970019,0.386097,0.422301,-0.161193,0.978360,0.594738,0.447292,-0.321235,0.921799,0.483288,0.445864,-0.433878,0.961345,0.571302,0.463862,-0.389659,0.871786,0.518869,0.457325,-0.509870,0.933065,0.560531,0.448550,-0.405827,0.866046,0.523559,0.442302,-0.519267,0.928772,0.563411,0.442095,-0.328818,0.845803,0.513386,0.438032,-0.441556,0.906528,0.598766,0.529536,-0.004834,0.999696,0.462725,0.527183,0.004523,0.999697,0.574900,0.673096,0.021026,0.992909,0.451175,0.666006,0.081826,0.994547,0.560015,0.764624,0.587723,0.984677,0.442131,0.763522,0.525846,0.988965,0.548248,0.769198,0.635777,0.893442,0.456236,0.770208,0.562282,0.883241,0.562265,0.824799,0.461707,0.973426,0.413457,0.820388,0.397303,0.979362
200,single_leg_squat_ref,0.527450,0.242238,-0.490880,0.999976,0.544647,0.227700,-0.456627,0.999940,0.556166,0.227874,-0.456686,0.999923,0.565140,0.228276,-0.456704,0.999916,0.512869,0.228198,-0.451672,0.999951,0.502685,0.228657,-0.451764,0.999949,0.493677,0.229224,-0.451811,0.999959,0.579576,0.235882,-0.257256,0.999875,0.486513,0.236448,-0.226762,0.999941,0.549967,0.258702,-0.405920,0.999978,0.510190,0.259562,-0.399949,0.999984,0.661369,0.322845,-0.141483,0.999863,0.420293,0.322593,-0.141234,0.999925,0.689196,0.421114,-0.123560,0.969014,0.391503,0.423404,-0.174880,0.977590,0.594518,0.452192,-0.306156,0.919689,0.493499,0.447859,-0.411275,0.960675,0.571478,0.468676,-0.371913,0.869511,0.532203,0.459303,-0.483629,0.932537,0.560866,0.454030,-0.390927,0.863791,0.537819,0.444544,-0.494292,0.928365,0.564098,0.448207,-0.314327,0.844282,0.527987,0.440497,-0.418112,0.906333,0.599645,0.530093,-0.004930,0.999682,0.463093,0.527462,0.004628,0.999690,0.575730,0.673647,0.043641,0.992862,0.451761,0.666298,0.108463,0.994545,0.560021,0.765276,0.589491,0.984825,0.444641,0.764316,0.528502,0.989032,0.548304,0.770694,0.641722,0.896312,0.458833,0.771556,0.572397,0.885729,0.562186,0.824484,0.460889,0.973527,0.413055,0.820976,0.410516,0.979395
233,single_leg_squat_ref,0.530503,0.242519,-0.482212,0.999976,0.548316,0.228509,-0.452342,0.999939,0.559574,0.228850,-0.452371,0.999922,0.568736,0.229387,-0.452372,0.999916,0.516996,0.228686,-0.447204,0.999950,0.506816,0.229051,-0.447238,0.999949,0.498012,0.229522,-0.447255,0.999958,0.582610,0.237350,-0.255747,0.999872,0.491458,0.236833,-0.231062,0.999940,0.552731,0.259196,-0.404126,0.999978,0.512404,0.259567,-0.397373,0.999983,0.661812,0.324092,-0.143298,0.999862,0.424141,0.322786,-0.135952,0.999925,0.694946,0.421178,-0.102240,0.969503,0.394395,0.423933,-0.144142,0.976915,0.601172,0.453158,-0.279823,0.922027,0.494532,0.449137,-0.360049,0.960975,0.577712,0.470009,-0.347156,0.873146,0.531887,0.460900,-0.431130,0.933621,0.567348,0.454464,-0.365218,0.867631,0.537989,0.445815,-0.446714,0.929681,0.571110,0.448778,-0.287748,0.848918,0.528352,0.441758,-0.368915,0.908294,0.600018,0.531497,-0.005009,0.999677,0.463413,0.528734,0.004708,0.999689,0.576235,0.673880,0.064494,0.992915,0.451967,0.666424,0.129187,0.994593,0.560008,0.765461,0.596260,0.985177,0.447842,0.765629,0.540034,0.989249,0.548486,0.771300,0.645382,0.900428,0.462283,0.773481,0.589453,0.889463,0.562251,0.823924,0.459780,0.974003,0.412140,0.822281,0.421104,0.979711
266,single_leg_squat_ref,0.533990,0.244000,-0.486674,0.999975,0.551251,0.230169,-0.466395,0.999938,0.562315,0.230423,-0.466332,0.999920,0.571488,0.230869,-0.466187,0.999914,0.519821,0.230607,-0.462032,0.999950,0.509609,0.231058,-0.462051,0.999948,0.500852,0.231552,-0.462061,0.999958,0.584221,0.238595,-0.286717,0.999867,0.493748,0.238639,-0.265287,0.999939,0.556220,0.260593,-0.418073,0.999976,0.516106,0.261099,-0.411907,0.999983,0.664156,0.325039,-0.170039,0.999854,0.425631,0.323582,-0.161432,0.999925,0.696539,0.421980,-0.119388,0.969468,0.395898,0.424936,-0.157836,0.976409,0.605806,0.453913,-0.312762,0.922752,0.496160,0.450681,-0.405992,0.960844,0.582409,0.471586,-0.380702,0.874898,0.531531,0.462863,-0.478811,0.933973,0.571717,0.455318,-0.401006,0.869511,0.538662,0.447371,-0.494201,0.930218,0.576590,0.449308,-0.321644,0.851541,0.529634,0.443323,-0.414953,0.909460,0.601608,0.531791,-0.006073,0.999646,0.464129,0.528839,0.005830,0.999682,0.576758,0.670606,0.091855,0.992850,0.452808,0.663619,0.141911,0.994608,0.559237,0.765525,0.580350,0.985465,0.448229,0.769422,0.548055,0.989489,0.548006,0.772554,0.618120,0.903907,0.463543,0.778825,0.584533,0.893905,0.562452,0.823663,0.426467,0.974301,0.406249,0.824180,0.390535,0.979886
300,single_leg_squat_ref,0.534816,0.245998,-0.502124,0.999973,0.551997,0.232591,-0.486419,0.999931,0.563221,0.232993,-0.486364,0.999911,0.572702,0.233528,-0.486271,0.999905,0.520921,0.232486,-0.480998,0.999946,0.511085,0.232749,-0.481043,0.999943,0.502478,0.233019,-0.481108,0.999954,0.585485,0.240826,-0.305120,0.999849,0.495618,0.239975,-0.280687,0.999933,0.556676,0.262729,-0.432855,0.999973,0.516836,0.262442,-0.425451,0.999981,0.665631,0.325650,-0.175451,0.999839,0.426975,0.323812,-0.170036,0.999925,0.697274,0.422272,-0.127655,0.968644,0.395862,0.425646,-0.167617,0.976254,0.605135,0.454970,-0.324108,0.921192,0.498048,0.450696,-0.410785,0.961188,0.582636,0.472473,-0.390877,0.873305,0.533440,0.462780,-0.482622,0.934811,0.571417,0.456321,-0.411975,0.867895,0.541764,0.447113,-0.495866,0.931178,0.575966,0.450356,-0.333301,0.850470,0.532320,0.443015,-0.418401,0.910822,0.601635,0.532136,-0.005587,0.999593,0.464456,0.529141,0.005370,0.999666,0.576757,0.670681,0.073451,0.992580,0.453988,0.665390,0.123170,0.994595,0.559311,0.765550,0.577301,0.985172,0.450820,0.771957,0.529026,0.989596,0.548674,0.772578,0.616918,0.906129,0.467766,0.781211,0.562926,0.896613,0.562675,0.823046,0.424053,0.973826,0.406075,0.828124,0.350717,0.979803
